r,t,y,DiscountedSalvageValue
REGION,EGNG00ILGX,2055, 1.5435311095561786e+00
REGION,EGNG00ILGX,2056, 0.818100937014282
REGION,EGNG00ILGX,2057, 3.5815747461603054e-01
REGION,EGNG00ILGX,2058, 7.3987168541411921e-02
REGION,EGNG00ILGX,2059, 0.0544808961494715
REGION,EGNG00ILGX,2070, 1.3229935822025171e-01
REGION,EGBMCHC04N,2041, 2.2457557179436232e+00
REGION,EGBMCHC04N,2042, 2.3699920766512026e+00
REGION,EGBMCHC04N,2043, 1.2411018789470440e+00
REGION,EGBMCHC04N,2051, 3.0609382373329113e+00
REGION,EGBMCHC04N,2052, 3.1043768790673210e+00
REGION,EGBMCHC04N,2053, 1.5716262886554861e+00
REGION,EGBMCHC04N,2061, 3.3332335807060223e+00
REGION,EGBMCHC04N,2062, 3.3460152233527491e+00
REGION,EGBMCHC04N,2063, 3.3570658331978458e+00
REGION,EGBMCHC04N,2064, 3.3665453386270170e+00
REGION,EGBMCHC04N,2065, 3.3745988961938918e+00
REGION,EGBMCHC04N,2066, 3.3813582546854373e+00
REGION,EGBMCHC04N,2067, 3.3869429932568096e+00
REGION,EGBMCHC04N,2068, 3.3914616452587096e+00
REGION,EGBMCHC04N,2069, 3.3950127183079961e+00
REGION,EGBMCHC04N,2070, 3.3976856201785330e+00
REGION,EGCOSCC04N,2067, 1.6091149768176084e+01
REGION,EGCOSCC04N,2068, 3.6107371336270965e+01
REGION,EGCOSCC04N,2069, 3.7603415824360120e+01
REGION,EGCOSCC04N,2070, 1.3930234104127916e+01
REGION,EGNGCCP01N,2047, 3.2368744721379739e-02
REGION,EGNGCCP01N,2048, 3.4705263926649734e+00
REGION,EGNGCCP01N,2049, 1.8538528875373250e+00
REGION,EGNGCCP01N,2055, 1.4373841639194109e+00
REGION,EGNGCCP01N,2056, 5.2467309687005841e+00
REGION,EGNGCCP01N,2058, 1.9213428026898469e+00
REGION,EGNGCCP02N,2048, 3.4705263926649734e+00
REGION,EGNGCCP02N,2050, 2.5479734177620944e-01
REGION,EGNGCCP02N,2055, 5.2514551855949350e+00
REGION,EGNGCCP02N,2056, 5.4221094486403549e+00
REGION,EGNGCCP04N,2048, 3.4705263926649734e+00
REGION,EGNGCCP04N,2055, 2.7809490731719619e+00
REGION,EGNGCCP04N,2057, 3.2271503548662372e+00
REGION,EGNGCCP04N,2059, 1.5056096349918695e+00
REGION,EGNGCCC01N,2048, 4.05338219393984
REGION,EGNGCCC02N,2042, 2.4146307036461470e-01
REGION,EGNGCCC02N,2043, 2.2633372472243320e+00
REGION,EGNGCCC02N,2044, 3.2854461674374513e+00
REGION,EGNGCCC02N,2045, 4.8090023288714150e+00
REGION,EGNGCCC02N,2046, 7.8753325671002035e+00
REGION,EGNGCCC02N,2047, 7.6612490361061711e+00
REGION,EGNGCCC02N,2048, 1.0014947590261768e+01
REGION,EGNGCCC02N,2070, 2.5805218012811626e+01
REGION,EGNGCCC04N,2046, 1.5950802838946276e+00
REGION,EGNGCCC04N,2048, 6.03949667034418
REGION,EGNGGCP04N,2056, 1.8509766121999049e+00
REGION,EGNGGCP04N,2057, 3.4311771552271636e-02
REGION,EGNGGCP04N,2058, 0.0636846778026645
REGION,EGNGGCP04N,2059, 0.215880835404424
REGION,EGNGGCP04N,2062, 6.1697461010153019e-02
REGION,EGNGGCP04N,2063, 5.6576784702477574e-02
REGION,EGNGGCP04N,2064, 2.8055956844906724e-02
REGION,EGNGGCP04N,2070, 3.2780862664706467e-01
REGION,EGWINDP00X,2047, 7.0505556638316813e-01
REGION,EGWINDP00X,2048, 1.3428331032210650e+00
REGION,EGWINDP00X,2049, 1.9195865469210605e+00
REGION,EGWINDP00X,2050, 2.4409887713168161e+00
REGION,EGWINDP00X,2051, 2.9121855499841320e+00
REGION,EGWINDP00X,2052, 3.33784450940735
REGION,EGWINDP00X,2053, 3.7221995377081591e+00
REGION,EGWINDP00X,2054, 4.0690910708410373e+00
REGION,EGWINDP00X,2055, 4.3820026384397091e+00
REGION,EGWINDP00X,2056, 4.6640940167932241e+00
REGION,EGWINDP00X,2057, 4.9182313035570466e+00
REGION,EGWINDP00X,2058, 5.1470142000477352e+00
REGION,EGWINDP00X,2059, 5.3528007601540555e+00
REGION,EGWINDP00X,2060, 5.5377298411143414e+00
REGION,EGWINDP00X,2061, 7.6049886258641255e+00
REGION,EGWINDP00X,2062, 7.8034604203271583e+00
REGION,EGWINDP00X,2063, 7.9811832685948154e+00
REGION,EGWINDP00X,2064, 8.14008740744741
REGION,EGWINDP00X,2065, 8.2819236004243368e+00
REGION,EGWINDP00X,2066, 8.4082798169330157e+00
REGION,EGWINDP00X,2067, 8.5205963620896767e+00
REGION,EGWINDP00X,2068, 8.6201796010339571e+00
REGION,EGWINDP00X,2069, 8.7082144083182875e+00
REGION,EGWINDP00X,2070, 8.7857754606773248e+00
REGION,EGWINDP01X,2047, 1.2931958275693851e+00
REGION,EGWINDP01X,2048, 2.4412949958778620e+00
REGION,EGWINDP01X,2049, 3.4586800324863352e+00
REGION,EGWINDP01X,2050, 4.3583176058889554e+00
REGION,EGWINDP01X,2051, 5.1518970905701682e+00
REGION,EGWINDP01X,2052, 5.8499556397297559e+00
REGION,EGWINDP01X,2053, 6.4619910736609958e+00
REGION,EGWINDP01X,2054, 6.9965637654595012e+00
REGION,EGWINDP01X,2055, 7.4613885915854787e+00
REGION,EGWINDP01X,2056, 7.8634179116397549e+00
REGION,EGWINDP01X,2057, 8.20891644848306
REGION,EGWINDP01X,2058, 8.5035288555805710e+00
REGION,EGWINDP01X,2059, 8.7523406823229184e+00
REGION,EGWINDP01X,2060, 8.9599333792838038e+00
REGION,EGWINDP01X,2061, 1.2173911897621966e+01
REGION,EGWINDP01X,2062, 1.2356746113906317e+01
REGION,EGWINDP01X,2063, 1.2499544421921115e+01
REGION,EGWINDP01X,2064, 1.2606326898613386e+01
REGION,EGWINDP01X,2065, 1.2680713573123693e+01
REGION,EGWINDP01X,2066, 1.2725963938974733e+01
REGION,EGWINDP01X,2067, 1.2745012588405556e+01
