r,t,y,NewCapacity
REGION,EGCRUDPROX,2020, 100.5
REGION,EGNG00ILGX,2055, 5.9174557191292263e+02
REGION,EGNG00ILGX,2056, 2.9395720053136523e+02
REGION,EGNG00ILGX,2057, 1.2174728605537837e+02
REGION,EGNG00ILGX,2058, 2.3974106193491334e+01
REGION,EGNG00ILGX,2059, 1.6933594419788115e+01
REGION,EGNG00ILGX,2070, 3.2510266781756627e+01
REGION,EGNG00ELGX,2015, 218.557993836
REGION,EGNG00ELGX,2017, 296.614420206
REGION,EGBMCHC04N,2021, 0.1
REGION,EGBMCHC04N,2022, 0.1
REGION,EGBMCHC04N,2023, 0.1
REGION,EGBMCHC04N,2024, 0.1
REGION,EGBMCHC04N,2025, 0.1
REGION,EGBMCHC04N,2026, 0.1
REGION,EGBMCHC04N,2027, 0.1
REGION,EGBMCHC04N,2028, 0.1
REGION,EGBMCHC04N,2029, 0.1
REGION,EGBMCHC04N,2030, 0.1
REGION,EGBMCHC04N,2041, 0.1
REGION,EGBMCHC04N,2042, 0.1
REGION,EGBMCHC04N,2043, 5.0000000000000044e-02
REGION,EGBMCHC04N,2051, 0.1
REGION,EGBMCHC04N,2052, 0.1
REGION,EGBMCHC04N,2053, 4.9999999999999822e-02
REGION,EGBMCHC04N,2061, 0.1
REGION,EGBMCHC04N,2062, 0.1
REGION,EGBMCHC04N,2063, 1.0000000000000009e-01
REGION,EGBMCHC04N,2064, 1.0000000000000009e-01
REGION,EGBMCHC04N,2065, 1.0000000000000009e-01
REGION,EGBMCHC04N,2066, 0.1
REGION,EGBMCHC04N,2067, 9.9999999999999978e-02
REGION,EGBMCHC04N,2068, 9.9999999999999978e-02
REGION,EGBMCHC04N,2069, 9.9999999999999978e-02
REGION,EGBMCHC04N,2070, 9.9999999999999978e-02
REGION,EGBMCHP04N,2016, 0.25
REGION,EGBMCHP04N,2021, 0.1
REGION,EGBMCHP04N,2022, 1.8411647005436491e-02
REGION,EGCOSCP04N,2025, 3
REGION,EGCOSCP04N,2026, 3
REGION,EGCOSCC04N,2067, 6.9999783438635810e-01
REGION,EGCOSCC04N,2068, 1.5671016390658625e+00
REGION,EGCOSCC04N,2069, 1.6296296704074131e+00
REGION,EGCOSCC04N,2070, 6.0327085614043741e-01
REGION,EGLFRCP04N,2015, 0.35
REGION,EGLFRCP04N,2016, 0.522
REGION,EGNGCCP01N,2015, 0.6
REGION,EGNGCCP01N,2047, 1.5638516086861492e-02
REGION,EGNGCCP01N,2048, 1.5
REGION,EGNGCCP01N,2049, 0.73119075537097
REGION,EGNGCCP01N,2055, 4.1056738935778536e-01
REGION,EGNGCCP01N,2056, 1.4514824032230438e+00
REGION,EGNGCCP01N,2058, 5.0399963705186246e-01
REGION,EGNGCCP02N,2018, 9.6
REGION,EGNGCCP02N,2048, 1.5
REGION,EGNGCCP02N,2050, 9.3095750689975387e-02
REGION,EGNGCCP02N,2055, 1.5
REGION,EGNGCCP02N,2056, 1.5
REGION,EGNGCCP04N,2015, 0.25
REGION,EGNGCCP04N,2016, 0.5
REGION,EGNGCCP04N,2017, 0.75
REGION,EGNGCCP04N,2018, 4.8
