id,Country,Unit Name,loc_codes,Latitude ,Longitude,Status,Type,Reservoir area (km2),First Year,Capacity (MW),CF_H1D1,CF_H1D2,CF_S1D1,CF_S1D2,CF_H2D1,CF_H2D2,CF_S2D1,CF_S2D2,CF_H3D1,CF_H3D2,CF_S3D1,CF_S3D2,CF_H4D1,CF_H4D2,CF_S4D1,CF_S4D2
1,EGYPT,Aswan 1,A1,24.03,32.87,Existing,Reservoir,8.24,2010,280,1,1,0.40949003,0.126185898,1,1,0.381810733,0.117441182,1,1,0.371004084,0.128847811,1,1,0.401260756,0.112682677
2,EGYPT,Aswan 2,A2,24.03,32.87,Existing,Reservoir,8.24,2010,270,1,1,0.40949003,0.126185898,1,1,0.381810733,0.117441182,1,1,0.371004084,0.128847811,1,1,0.401260756,0.112682677
3,EGYPT,High Aswan Dam,HA,23.97,32.88,Existing,Reservoir,6500,2010,2100,0.946799803,0.946799803,0.405868485,0.126038612,0.946799803,0.946799803,0.383855205,0.118164896,0.946799803,0.946799803,0.374238526,0.129793918,0.946799803,0.946799803,0.394260572,0.111777413
4,ETHIOPIA,Finchaa,FC,9.55921,37.36562,Existing,Reservoir,,1973,128,0.573284781,0.573284781,0.31769913,0.122600283,0.848040866,0.848040866,0.26080937,0.078234182,0.771463128,0.771463128,0.290626127,0.120324399,0.527109147,0.527109147,0.363996408,0.135937166
5,ETHIOPIA,Beles,LT,11.71,37.38,Existing,Reservoir,3600,2010,460,0.07255778,0.07255778,0.345440528,0.119542283,0.76306937,0.76306937,0.247866413,0.097465532,0.798543398,0.798543398,0.315969955,0.141242193,0.0819384,0.0819384,0.386511832,0.140750107
6,ETHIOPIA,Tekeze 1,T1,13.34763,38.74316,Existing,Reservoir,,2010,300,1,1,0.287426565,0.138854168,1,1,0.262417243,0.114038791,1,1,0.246598323,0.143809536,1,1,0.268179432,0.113901266
7,ETHIOPIA,Amarti-Neshe,AN,9.5941701,37.2329979,Existing,Reservoir,,2013,98,0.604309762,0.604309762,0.32822894,0.112132001,0.859113188,0.859113188,0.253947592,0.078348712,0.785968445,0.785968445,0.300302671,0.118919937,0.562435135,0.562435135,0.381996727,0.132589596
8,ETHIOPIA,Renaissance,RN,11.21,35.09,Existing,Reservoir,1874,2023,6400,0.307826019,0.307826019,0.333037837,0.105679169,0.69731779,0.69731779,0.277648464,0.06782728,0.578154433,0.578154433,0.308511219,0.109189814,0.292939913,0.292939913,0.378357538,0.113396364
9,ETHIOPIA,Baro,BR,7.21667,35.63334,Candidate,Reservoir,,2025,645,0.851984928,0.851984928,0.282820563,0.092343709,0.989915966,0.989915966,0.226572069,0.071754364,0.990827835,0.990827835,0.257433797,0.104603795,0.645726222,0.645726222,0.330275481,0.102904033
10,ETHIOPIA,Birbir,BB,8.543,35.195,Candidate,Reservoir,,2025,467,0.137770167,0.137770167,0.308724695,0.087997689,0.920240207,0.920240207,0.270460712,0.071315784,0.674416769,0.674416769,0.298849369,0.100828681,0.056561738,0.056561738,0.351547412,0.10596294
11,ETHIOPIA,Chemoga Yeda,CY,9.86,37.67,Candidate,Reservoir,,2025,280,0.482937136,0.482937136,0.340927193,0.107118022,0.77418422,0.77418422,0.307695311,0.077633565,0.733178213,0.733178213,0.328891102,0.107293066,0.450548698,0.450548698,0.362443251,0.09809929
12,ETHIOPIA,Geba,GB,8.31,36.1,Candidate,Reservoir,,2025,372,0.609143809,0.609143809,0.289662484,0.104923209,0.972462655,0.972462655,0.206624901,0.072926951,0.770955811,0.770955811,0.25082502,0.111687833,0.090197564,0.090197564,0.340614227,0.120060761
13,ETHIOPIA,Genji,GJ,8.23,34.96,Candidate,Reservoir,,2025,216,0.566249857,0.566249857,0.312592579,0.07999338,0.839445608,0.839445608,0.252026849,0.067338231,0.724008068,0.724008068,0.293340783,0.09741327,0.120636053,0.120636053,0.359218486,0.094217673
14,ETHIOPIA,Lower Dedessa,LS,8.96875,36.22893422,Candidate,Reservoir,,2025,550,,,0.32026752,0.104462584,,,0.261104076,0.071898175,,,0.313570615,0.106602142,,,0.378421671,0.115956514
15,ETHIOPIA,Tekeze 2,T2,13.790556,37.997222,Candidate,Reservoir,,2025,380,0.768766433,0.768766433,0.298784334,0.139504074,0.932464989,0.932464989,0.261416612,0.113896294,0.886176918,0.886176918,0.286198188,0.152393729,0.759352771,0.759352771,0.322456063,0.144823195
16,ETHIOPIA,Upper Dabus,UD,9.986011,34.893504,Candidate,Reservoir,,2025,326,0.086969458,0.086969458,0.292096348,0.104071903,0.794743966,0.794743966,0.240395363,0.062626351,0.738533568,0.738533568,0.283774712,0.108681731,0.03598722,0.03598722,0.379132821,0.117723066
17,ETHIOPIA,Karadobi,KR,10.14,38.34,Candidate,Reservoir,,2026,1600,0.861482973,0.861482973,0.341851335,0.12009991,0.861482973,0.861482973,0.303714211,0.087546181,0.861482973,0.861482973,0.339241851,0.126068371,0.861482973,0.861482973,0.377693062,0.130244084
18,ETHIOPIA,Beko Abo,BA,10.34,36.65,Candidate,Reservoir,,2028,935,0.231110512,0.231110512,0.318664734,0.109795564,0.8982552,0.8982552,0.270008863,0.074062143,0.618442264,0.618442264,0.32375007,0.114583002,0.087885088,0.087885088,0.38074566,0.124251176
19,ETHIOPIA,Upper Mandaya,UM,9.95,35.68,Candidate,Reservoir,,2030,1700,0.304501636,0.304501636,0.327569123,0.09733253,0.940825905,0.940825905,0.262302015,0.070104277,0.644061903,0.644061903,0.321106831,0.102739563,0.07347394,0.07347394,0.375963703,0.111860513
20,ETHIOPIA,Aleltu East,AE,9.78,38.83,Candidate,Reservoir,,2031,189,0.440770733,0.440770733,0.289754843,0.136676124,0.694717652,0.694717652,0.264199568,0.094938511,0.542745603,0.542745603,0.291612542,0.133338089,0.090258499,0.090258499,0.350880098,0.146350896
21,ETHIOPIA,Aleltu West,AW,9.78,38.83,Candidate,Reservoir,,2031,265,0.440770733,0.440770733,0.289754843,0.136676124,0.694717652,0.694717652,0.264199568,0.094938511,0.542745603,0.542745603,0.291612542,0.133338089,0.090258499,0.090258499,0.350880098,0.146350896
22,ETHIOPIA,Lower Dabus,LD,9.792050906,34.82121757,Candidate,Reservoir,,2031,250,0.5,0.5,0.272383275,0.108001524,0.5,0.5,0.24155351,0.066075167,0.5,0.5,0.271966588,0.107280133,0.5,0.5,0.355986003,0.121346692
23,ETHIOPIA,Tams,TM,7.972916667,35.32708333,Candidate,Reservoir,76,2031,1000,0.5,0.5,0.271186421,0.094730189,0.5,0.5,0.19225094,0.070605205,0.5,0.5,0.234211186,0.10729649,0.5,0.5,0.330753717,0.11023679
24,SOUTH SUDAN,Juba Barrage,JB,4.739242234,31.59791667,Candidate,Reservoir,,2026,120,0.5,0.5,0.31782991,0.091050571,0.5,0.5,0.274287599,0.075601211,0.5,0.5,0.291821084,0.107807576,0.5,0.5,0.361924182,0.105265079
25,SOUTH SUDAN,Wau,WA,7.68,28.05,Candidate,Reservoir,,2030,10.4,0.582801884,0.582801884,0.355364995,0.088994541,0.395573162,0.395573162,0.296346847,0.070238719,0.814411328,0.814411328,0.33079598,0.099134948,0.158778995,0.158778995,0.394324048,0.09488829
