id,Country,Unit Name,loc_codes,Latitude ,Longitude,Status,Type,Reservoir area (km2),First Year,Capacity (MW),CF_H1D1,CF_H1D2,CF_S1D1,CF_S1D2,CF_H2D1,CF_H2D2,CF_S2D1,CF_S2D2,CF_H3D1,CF_H3D2,CF_S3D1,CF_S3D2,CF_H4D1,CF_H4D2,CF_S4D1,CF_S4D2
1,EGYPT,Aswan 1,A1,24.03,32.87,Existing,Reservoir,8.24,2010,280,0.993685616,0.993685616,0.40949003,0.126185898,0.993685616,0.993685616,0.381810733,0.117441182,0.993685616,0.993685616,0.371004084,0.128847811,0.993685616,0.993685616,0.401260756,0.112682677
2,EGYPT,Aswan 2,A2,24.03,32.87,Existing,Reservoir,8.24,2010,270,1,1,0.40949003,0.126185898,1,1,0.381810733,0.117441182,1,1,0.371004084,0.128847811,1,1,0.401260756,0.112682677
3,EGYPT,High Aswan Dam,HA,23.97,32.88,Existing,Reservoir,6500,2010,2100,0.730682975,0.730682975,0.405868485,0.126038612,0.730682975,0.730682975,0.383855205,0.118164896,0.730682975,0.730682975,0.374238526,0.129793918,0.730682975,0.730682975,0.394260572,0.111777413
4,ETHIOPIA,Finchaa,FC,9.55921,37.36562,Existing,Reservoir,,1973,128,0.457369858,0.457369858,0.31769913,0.122600283,0.669607134,0.669607134,0.26080937,0.078234182,0.572915006,0.572915006,0.290626127,0.120324399,0.437729741,0.437729741,0.363996408,0.135937166
5,ETHIOPIA,Beles,LT,11.71,37.38,Existing,Reservoir,3600,2010,460,0.33993495,0.33993495,0.345440528,0.119542283,0.78564205,0.78564205,0.247866413,0.097465532,0.643016825,0.643016825,0.315969955,0.141242193,0.040348344,0.040348344,0.386511832,0.140750107
6,ETHIOPIA,Tekeze 1,T1,13.34763,38.74316,Existing,Reservoir,,2010,300,1,1,0.287426565,0.138854168,1,1,0.262417243,0.114038791,1,1,0.246598323,0.143809536,1,1,0.268179432,0.113901266
7,ETHIOPIA,Amarti-Neshe,AN,9.5941701,37.2329979,Existing,Reservoir,,2013,98,0.480705912,0.480705912,0.32822894,0.112132001,0.675049707,0.675049707,0.253947592,0.078348712,0.58554466,0.58554466,0.300302671,0.118919937,0.463637371,0.463637371,0.381996727,0.132589596
8,ETHIOPIA,Renaissance,RN,11.21,35.09,Existing,Reservoir,1874,2023,6400,0.270881613,0.270881613,0.333037837,0.105679169,0.581116129,0.581116129,0.277648464,0.06782728,0.399789707,0.399789707,0.308511219,0.109189814,0.255978604,0.255978604,0.378357538,0.113396364
9,ETHIOPIA,Baro,BR,7.21667,35.63334,Candidate,Reservoir,,2025,645,0.751859494,0.751859494,0.282820563,0.092343709,0.631524743,0.631524743,0.226572069,0.071754364,0.78546293,0.78546293,0.257433797,0.104603795,0.36739649,0.36739649,0.330275481,0.102904033
10,ETHIOPIA,Birbir,BB,8.543,35.195,Candidate,Reservoir,,2025,467,0.067017585,0.067017585,0.308724695,0.087997689,0.817341912,0.817341912,0.270460712,0.071315784,0.536329243,0.536329243,0.298849369,0.100828681,0.026560118,0.026560118,0.351547412,0.10596294
11,ETHIOPIA,Chemoga Yeda,CY,9.86,37.67,Candidate,Reservoir,,2025,280,0.333671673,0.333671673,0.340927193,0.107118022,0.590411387,0.590411387,0.307695311,0.077633565,0.511392046,0.511392046,0.328891102,0.107293066,0.343218423,0.343218423,0.362443251,0.09809929
12,ETHIOPIA,Geba,GB,8.31,36.1,Candidate,Reservoir,,2025,372,0.16071087,0.16071087,0.289662484,0.104923209,0.899963609,0.899963609,0.206624901,0.072926951,0.604289578,0.604289578,0.25082502,0.111687833,0.042471474,0.042471474,0.340614227,0.120060761
13,ETHIOPIA,Genji,GJ,8.23,34.96,Candidate,Reservoir,,2025,216,0.352858402,0.352858402,0.312592579,0.07999338,0.618810073,0.618810073,0.252026849,0.067338231,0.489183756,0.489183756,0.293340783,0.09741327,0.075462717,0.075462717,0.359218486,0.094217673
14,ETHIOPIA,Lower Dedessa,LS,8.96875,36.22893422,Candidate,Reservoir,,2025,550,0.5,0.5,0.32026752,0.104462584,0.5,0.5,0.261104076,0.071898175,0.5,0.5,0.313570615,0.106602142,0.5,0.5,0.378421671,0.115956514
15,ETHIOPIA,Tekeze 2,T2,13.790556,37.997222,Candidate,Reservoir,,2025,380,0.56071043,0.56071043,0.298784334,0.139504074,0.758214833,0.758214833,0.261416612,0.113896294,0.682725863,0.682725863,0.286198188,0.152393729,0.555401931,0.555401931,0.322456063,0.144823195
16,ETHIOPIA,Upper Dabus,UD,9.986011,34.893504,Candidate,Reservoir,,2025,326,0.144715421,0.144715421,0.292096348,0.104071903,0.713095819,0.713095819,0.240395363,0.062626351,0.611726777,0.611726777,0.283774712,0.108681731,0.027970383,0.027970383,0.379132821,0.117723066
17,ETHIOPIA,Karadobi,KR,10.14,38.34,Candidate,Reservoir,,2026,1600,0.686282124,0.686282124,0.341851335,0.12009991,0.686282124,0.686282124,0.303714211,0.087546181,0.686282124,0.686282124,0.339241851,0.126068371,0.686282124,0.686282124,0.377693062,0.130244084
