,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2025.0,-690.7539,0.0,812.6516
1,2026.0,-690.7539,0.0,812.6516
2,2027.0,-690.7539,0.0,812.6516
3,2028.0,-690.7539,0.0,812.6516
4,2037.0,-0.0,4.1229,0.0
5,2038.0,-0.0,7.3159,0.0
6,2039.0,-0.0,13.3087,0.0
7,2040.0,-0.0,16.4697,0.0
8,2041.0,-0.0,16.5288,0.0
9,2042.0,-0.0,15.6922,0.0
10,2043.0,-0.0,12.9011,0.0
11,2044.0,-0.0,12.4997,0.0
12,2045.0,-0.0,12.7272,0.0
13,2046.0,-0.0,14.2472,0.0
14,2047.0,-0.0,15.1142,0.0
15,2048.0,-0.0,15.0544,0.0
16,2049.0,-0.0,16.5683,0.0
17,2050.0,-0.0,16.6601,0.0
18,2051.0,-0.0,17.9445,0.0
19,2052.0,-0.0,20.4662,0.0
20,2053.0,-0.0,22.5093,0.0
21,2054.0,-0.0,21.253,0.0
22,2055.0,-0.0,18.6478,0.0
23,2056.0,-0.0,18.7794,0.0
24,2057.0,-0.0,19.4504,0.0
25,2058.0,-0.0,19.4742,0.0
26,2059.0,-0.0,29.0448,0.0
27,2060.0,-0.0,31.7035,0.0
28,2061.0,-0.0,33.9955,0.0
29,2062.0,-0.0,33.6947,0.0
30,2063.0,-0.0,32.2982,0.0
31,2064.0,-0.0,29.7452,0.0
32,2065.0,-0.0,27.5958,0.0
33,2066.0,-0.0,27.5387,0.0
34,2067.0,-0.0,27.7744,0.0
35,2068.0,-0.0,25.9391,0.0
36,2069.0,-0.0,21.8511,0.0
37,2070.0,-0.0,20.1838,0.0
