r,t,y,NewCapacity
REGION,EGCRUDPROX,2020, 100.5
REGION,EGNG00ILGX,2055, 5.7201899762504831e+02
REGION,EGNG00ILGX,2056, 3.2347726302155252e+02
REGION,EGNG00ILGX,2057, 1.3128472859721924e+02
REGION,EGNG00ILGX,2058, 2.4633842050620860e+01
REGION,EGNG00ILGX,2059, 1.5680949635457209e+01
REGION,EGNG00ILGX,2070, 2.3837094503847538e+01
REGION,EGNG00ELGX,2015, 218.557993836
REGION,EGNG00ELGX,2017, 296.614420206
REGION,EGBMCHC04N,2021, 0.1
REGION,EGBMCHC04N,2022, 0.1
REGION,EGBMCHC04N,2023, 0.1
REGION,EGBMCHC04N,2024, 0.1
REGION,EGBMCHC04N,2025, 0.1
REGION,EGBMCHC04N,2026, 0.1
REGION,EGBMCHC04N,2027, 0.1
REGION,EGBMCHC04N,2028, 0.1
REGION,EGBMCHC04N,2029, 0.1
REGION,EGBMCHC04N,2030, 1.0000000000000014e-01
REGION,EGBMCHC04N,2041, 0.1
REGION,EGBMCHC04N,2042, 0.1
REGION,EGBMCHC04N,2043, 4.9999999999999822e-02
REGION,EGBMCHC04N,2051, 0.1
REGION,EGBMCHC04N,2052, 0.1
REGION,EGBMCHC04N,2053, 4.9999999999999850e-02
REGION,EGBMCHC04N,2061, 0.1
REGION,EGBMCHC04N,2062, 0.1
REGION,EGBMCHC04N,2063, 0.1
REGION,EGBMCHC04N,2064, 9.9999999999999978e-02
REGION,EGBMCHC04N,2065, 9.9999999999999950e-02
REGION,EGBMCHC04N,2066, 0.1
REGION,EGBMCHC04N,2067, 0.1
REGION,EGBMCHC04N,2068, 0.1
REGION,EGBMCHC04N,2069, 0.1
REGION,EGBMCHC04N,2070, 1.0000000000000023e-01
REGION,EGBMCHP04N,2016, 0.25
REGION,EGBMCHP04N,2021, 0.1
REGION,EGBMCHP04N,2022, 0.1
REGION,EGCOSCP04N,2025, 3
REGION,EGCOSCP04N,2026, 3
REGION,EGCOSCC04N,2067, 5.7396931598860046e-01
REGION,EGCOSCC04N,2068, 1.5449988052708523e+00
REGION,EGCOSCC04N,2069, 1.6296296704091942e+00
REGION,EGCOSCC04N,2070, 0.751402208331353
REGION,EGLFRCP04N,2015, 0.35
REGION,EGLFRCP04N,2016, 0.522
REGION,EGNGCCP01N,2015, 0.6
REGION,EGNGCCP01N,2047, 2.6314742587165485e-01
REGION,EGNGCCP01N,2048, 1.5
REGION,EGNGCCP01N,2050, 9.3049402472664383e-02
REGION,EGNGCCP01N,2056, 1.4410759303196083e+00
REGION,EGNGCCP01N,2058, 4.8308178271688534e-01
REGION,EGNGCCP02N,2018, 9.6
REGION,EGNGCCP02N,2048, 1.5
REGION,EGNGCCP02N,2049, 2.2454645777679677e-01
REGION,EGNGCCP02N,2055, 1.5
REGION,EGNGCCP02N,2056, 1.5
REGION,EGNGCCP02N,2058, 8.3693096782092635e-02
REGION,EGNGCCP04N,2015, 0.25
REGION,EGNGCCP04N,2016, 0.5
REGION,EGNGCCP04N,2017, 0.75
REGION,EGNGCCP04N,2018, 4.8
REGION,EGNGCCP04N,2047, 2.2421573048380872e-01
REGION,EGNGCCP04N,2048, 1.5
REGION,EGNGCCP04N,2049, 6.2654174276291108e-01
REGION,EGNGCCP04N,2055, 1.1664663921004603e+00
REGION,EGNGCCP04N,2057, 7.5833609215145881e-01
REGION,EGNGCCP04N,2058, 1.9578803078304794e-03
REGION,EGNGCCP04N,2059, 5.1677174038552876e-01
REGION,EGNGCCC01N,2040, 3.5262102023070790e-01
REGION,EGNGCCC01N,2046, 2.1623145998317991e-01
REGION,EGNGCCC01N,2048, 1.3221546056416842e+00
REGION,EGNGCCC01N,2070, 5.1142869534420521e-01
REGION,EGNGCCC02N,2040, 1
