r,t,y,DiscountedSalvageValue
REGION,EGNG00ILGX,2055, 1.4920755811271704e+00
REGION,EGNG00ILGX,2056, 9.0025708335220955e-01
REGION,EGNG00ILGX,2057, 3.8621482559079845e-01
REGION,EGNG00ILGX,2058, 7.6023198066779873e-02
REGION,EGNG00ILGX,2059, 5.0450729327502504e-02
REGION,EGNG00ILGX,2070, 9.7004196424010966e-02
REGION,EGBMCHC04N,2041, 2.2457557179436232e+00
REGION,EGBMCHC04N,2042, 2.3699920766512026e+00
REGION,EGBMCHC04N,2043, 1.2411018789470383e+00
REGION,EGBMCHC04N,2051, 3.0609382373329113e+00
REGION,EGBMCHC04N,2052, 3.1043768790673210e+00
REGION,EGBMCHC04N,2053, 1.5716262886554870e+00
REGION,EGBMCHC04N,2061, 3.3332335807060223e+00
REGION,EGBMCHC04N,2062, 3.3460152233527491e+00
REGION,EGBMCHC04N,2063, 3.3570658331978431e+00
REGION,EGBMCHC04N,2064, 3.3665453386270130e+00
REGION,EGBMCHC04N,2065, 3.3745988961938869e+00
REGION,EGBMCHC04N,2066, 3.3813582546854373e+00
REGION,EGBMCHC04N,2067, 3.3869429932568105e+00
REGION,EGBMCHC04N,2068, 3.3914616452587110e+00
REGION,EGBMCHC04N,2069, 3.3950127183079970e+00
REGION,EGBMCHC04N,2070, 3.3976856201785419e+00
REGION,EGCOSCC04N,2067, 1.3194078284551539e+01
REGION,EGCOSCC04N,2068, 3.5598103010895443e+01
REGION,EGCOSCC04N,2069, 3.7603415824401218e+01
REGION,EGCOSCC04N,2070, 17.3507613733917
REGION,EGNGCCP01N,2047, 5.4466496723969093e-01
REGION,EGNGCCP01N,2048, 3.4705263926649734e+00
REGION,EGNGCCP01N,2050, 2.5467048955707605e-01
REGION,EGNGCCP01N,2056, 5.2091142786627591e+00
REGION,EGNGCCP01N,2058, 1.8415999498788491e+00
REGION,EGNGCCP02N,2048, 3.4705263926649734e+00
REGION,EGNGCCP02N,2049, 5.6931258509223737e-01
REGION,EGNGCCP02N,2055, 5.2514551855949350e+00
REGION,EGNGCCP02N,2056, 5.4221094486403549e+00
REGION,EGNGCCP02N,2058, 3.1905405741502857e-01
REGION,EGNGCCP04N,2047, 4.6408378533085087e-01
REGION,EGNGCCP04N,2048, 3.4705263926649734e+00
REGION,EGNGCCP04N,2049, 1.58852694792947
REGION,EGNGCCP04N,2055, 4.0837639890787845e+00
REGION,EGNGCCP04N,2057, 2.8196198221189213e+00
REGION,EGNGCCP04N,2058, 7.4638133868163512e-03
REGION,EGNGCCP04N,2059, 2.0142044492745756e+00
REGION,EGNGCCC01N,2046, 1.1352631058914409e+00
REGION,EGNGCCC01N,2048, 8.8275393878164561e+00
REGION,EGNGCCC01N,2070, 5.8559457100382426e+00
REGION,EGNGCCC02N,2043, 1.9142637729382648e+00
REGION,EGNGCCC02N,2044, 3.2311723469790059e+00
REGION,EGNGCCC02N,2045, 4.8797619329255255e+00
REGION,EGNGCCC02N,2046, 7.8753325671002035e+00
REGION,EGNGCCC02N,2047, 9.0036700896638244e+00
REGION,EGNGCCC02N,2048, 1.0014947590261768e+01
REGION,EGNGCCC02N,2070, 2.0130668651007710e+01
REGION,EGNGCCC04N,2047, 9.8408423784131616e-01
REGION,EGNGCCC04N,2048, 1.2983481244967985e+00
REGION,EGNGGCP04N,2056, 2.1642187547844953e+00
REGION,EGNGGCP04N,2062, 1.1334113576380367e-01
REGION,EGNGGCP04N,2063, 4.4097260252105482e-02
REGION,EGNGGCP04N,2064, 1.8519000220610062e-02
REGION,EGNGGCP04N,2070, 5.9050122966996091e-02
REGION,EGHYDMS03X,2023, 7.0454613906395540e+00
REGION,EGHYDMS03X,2031, 7.2323333889971995e+00
REGION,EGHYDMS03X,2041, 7.3327407665480067e+00
REGION,EGHYDMS02X,2018, 4.3722314975771126e-01
REGION,EGHYDMS02X,2023, 3.5227306953197766e+00
REGION,EGHYDMS02X,2031, 3.6161666944985997e+00
REGION,EGHYDMS02X,2032, 3.6235943482752466e+00
REGION,EGHYDMS02X,2041, 3.6663703832740033e+00
REGION,EGWINDP00X,2047, 7.0505556638316813e-01
REGION,EGWINDP00X,2048, 1.3428331032210650e+00
REGION,EGWINDP00X,2049, 1.9195865469210605e+00
REGION,EGWINDP00X,2050, 2.4409887713168161e+00
REGION,EGWINDP00X,2051, 2.9121855499841320e+00
REGION,EGWINDP00X,2052, 3.3378445093966245e+00
REGION,EGWINDP00X,2053, 3.7221995377081591e+00
REGION,EGWINDP00X,2054, 4.0690910708401047e+00
REGION,EGWINDP00X,2055, 4.3820026384397091e+00
REGION,EGWINDP00X,2056, 4.6640940167900764e+00
REGION,EGWINDP00X,2057, 4.9182313035570466e+00
REGION,EGWINDP00X,2058, 5.1470142000477352e+00
REGION,EGWINDP00X,2059, 5.3528007601546124e+00
REGION,EGWINDP00X,2060, 5.5377298411142668e+00
REGION,EGWINDP00X,2061, 7.6049886258616661e+00
REGION,EGWINDP00X,2062, 7.8034604203271583e+00
REGION,EGWINDP00X,2063, 7.9811832685948154e+00
REGION,EGWINDP00X,2064, 8.1400874074480374e+00
REGION,EGWINDP00X,2065, 8.2819236004219370e+00
REGION,EGWINDP00X,2066, 8.4082798169330157e+00
REGION,EGWINDP00X,2067, 8.5205963620896767e+00
REGION,EGWINDP00X,2068, 8.6201796010339571e+00
REGION,EGWINDP00X,2069, 8.7082144083148254e+00
REGION,EGWINDP00X,2070, 8.7857754606806111e+00
REGION,EGWINDP01X,2047, 1.2931958275693851e+00
REGION,EGWINDP01X,2048, 2.4412949958778620e+00
REGION,EGWINDP01X,2049, 3.4586800324863352e+00
REGION,EGWINDP01X,2050, 4.3583176058889554e+00
REGION,EGWINDP01X,2051, 5.1518970905701682e+00
REGION,EGWINDP01X,2052, 5.8499556397297559e+00
REGION,EGWINDP01X,2053, 6.4619910736609958e+00
REGION,EGWINDP01X,2054, 6.9965637654595012e+00
REGION,EGWINDP01X,2055, 7.4613885915854787e+00
REGION,EGWINDP01X,2056, 7.8634179116397549e+00
REGION,EGWINDP01X,2057, 8.20891644848306
REGION,EGWINDP01X,2058, 8.5035288555805710e+00
REGION,EGWINDP01X,2059, 8.7523406823229184e+00
REGION,EGWINDP01X,2060, 8.9599333792838038e+00
REGION,EGWINDP01X,2061, 1.2173911897621966e+01
REGION,EGWINDP01X,2062, 1.2356746113906317e+01
REGION,EGWINDP01X,2063, 1.2499544421921115e+01
REGION,EGWINDP01X,2064, 1.2606326898613386e+01
REGION,EGWINDP01X,2065, 1.2680713573123693e+01
REGION,EGWINDP01X,2066, 1.2725963938974733e+01
REGION,EGWINDP01X,2067, 1.2745012588405556e+01
REGION,EGWINDP01X,2068, 1.2740501347369229e+01
REGION,EGWINDP01X,2069, 1.2714808252938393e+01
REGION,EGWINDP01X,2070, 1.2670073681647281e+01
REGION,EGNULWP04N,2038, 1.0490328940261096e+01
REGION,EGNULWP04N,2039, 1.7498732649673013e+01
REGION,EGNULWP04N,2040, 17.6172629107992
REGION,EGNULWP04N,2041, 1.7652398868552424e+01
REGION,EGNULWP04N,2042, 1.7822976587133862e+01
REGION,EGNULWP04N,2043, 7.1667078367919093e+00
REGION,EGNULWP04N,2051, 1.8112148059287019e+01
REGION,EGNULWP04N,2052, 1.2450148257450989e+01
REGION,EGNULWP04N,2053, 6.2619313938263277e+00
REGION,EGEL00T00X,2032, 8.4570738453811456e-01
REGION,EGEL00T00X,2033, 1.0687063644043975e+00
REGION,EGEL00T00X,2034, 1.0711349939748
REGION,EGEL00T00X,2035, 1.0731129432956836e+00
REGION,EGEL00T00X,2036, 1.0746828647728719e+00
REGION,EGEL00T00X,2037, 1.0758834403933506e+00
REGION,EGEL00T00X,2038, 1.0767497511296087e+00
REGION,EGEL00T00X,2039, 1.0773136119666666e+00
REGION,EGEL00T00X,2040, 1.0776038757532782e+00
REGION,EGEL00T00X,2041, 1.9022645611546640e+00
REGION,EGEL00T00X,2042, 1.9019452923963511e+00
REGION,EGEL00T00X,2043, 1.9012691325717046e+00
REGION,EGEL00T00X,2044, 1.9002705302265523e+00
REGION,EGEL00T00X,2045, 1.8989807249357140e+00
REGION,EGEL00T00X,2046, 1.8974280458174324e+00
REGION,EGEL00T00X,2047, 1.8956381822666724e+00
REGION,EGEL00T00X,2048, 1.8936344295133674e+00
REGION,EGEL00T00X,2049, 1.8914379113182394e+00
REGION,EGEL00T00X,2050, 1.8890677819692470e+00
REGION,EGEL00T00X,2051, 2.1306138484846744e+00
REGION,EGEL00T00X,2052, 2.1956279415134530e+00
REGION,EGEL00T00X,2053, 2.2623987257999616e+00
REGION,EGEL00T00X,2054, 2.3309836093966738e+00
REGION,EGEL00T00X,2055, 2.40144123075881
REGION,EGEL00T00X,2056, 2.4738315201663661e+00
REGION,EGEL00T00X,2057, 2.5482157614019711e+00
REGION,EGEL00T00X,2058, 2.6246566537567380e+00
REGION,EGEL00T00X,2059, 2.7032183744661276e+00
REGION,EGEL00T00X,2060, 2.7839666416612454e+00
REGION,EGEL00T00X,2061, 2.8669687779218962e+00
REGION,EGEL00T00X,2062, 2.9522937745261317e+00
REGION,EGEL00T00X,2063, 3.0400123564693873e+00
REGION,EGEL00T00X,2064, 3.1301970483502823e+00
REGION,EGEL00T00X,2065, 3.2229222411966263e+00
REGION,EGEL00T00X,2066, 3.3182642603278802e+00
REGION,EGEL00T00X,2067, 3.4163014343191649e+00
REGION,EGEL00T00X,2068, 3.5171141651641777e+00
REGION,EGEL00T00X,2069, 3.6207849997097203e+00
REGION,EGEL00T00X,2070, 3.7273987024469508e+00
REGION,EGEL00TDTX,2032, 5.5891015057775872e+00
REGION,EGEL00TDTX,2033, 7.0620350796854128e+00
REGION,EGEL00TDTX,2034, 7.0780835171168981e+00
REGION,EGEL00TDTX,2035, 7.0911538495815023e+00
REGION,EGEL00TDTX,2036, 7.1015279251120429e+00
REGION,EGEL00TDTX,2037, 7.1094613551262240e+00
REGION,EGEL00TDTX,2038, 7.1151859554590482e+00
REGION,EGEL00TDTX,2039, 7.1189119602288251e+00
REGION,EGEL00TDTX,2040, 7.1208300296926668e+00
REGION,EGEL00TDTX,2041, 1.2570205913579937e+01
REGION,EGEL00TDTX,2042, 1.2568096178627270e+01
