r,t,y,NewCapacity
REGION,EGCRUDPROX,2020, 100.5
REGION,EGNG00ILGX,2042, 1.3385930513893038e+03
REGION,EGNG00ILGX,2043, 6.9813673781589523e+02
REGION,EGNG00ILGX,2044, 6.0117224575247889e+01
REGION,EGNG00ILGX,2045, 5.9785015918188428e+01
REGION,EGNG00ILGX,2046, 83.373841850854
REGION,EGNG00ILGX,2047, 9.0527536613546246e+01
REGION,EGNG00ILGX,2048, 3.5022165531300686e+01
REGION,EGNG00ILGX,2049, 6.9587170480882023e+01
REGION,EGNG00ILGX,2050, 6.5311239084712753e+01
REGION,EGNG00ILGX,2051, 7.5342985465534582e+01
REGION,EGNG00ILGX,2052, 7.8825954812418388e+01
REGION,EGNG00ILGX,2053, 8.2412095770140951e+01
REGION,EGNG00ILGX,2054, 86.1047111995168
REGION,EGNG00ILGX,2055, 1.7889434719437807e+02
REGION,EGNG00ILGX,2056, 1.9049790546716241e+02
REGION,EGNG00ILGX,2057, 6.1169894612526569e+01
REGION,EGNG00ILGX,2058, 65.4427855563658
REGION,EGNG00ILGX,2059, 6.9839746712032579e+01
REGION,EGNG00ILGX,2060, 7.5560029454013929e+01
REGION,EGNG00ILGX,2061, 1.1455988699748828e+02
REGION,EGNG00ILGX,2062, 1.1926632519257666e+02
REGION,EGNG00ILGX,2063, 1.2466767552402649e+02
REGION,EGNG00ILGX,2064, 9.1167552852980847e+01
REGION,EGNG00ILGX,2065, 8.9796356069359547e+01
REGION,EGNG00ILGX,2066, 8.4494023739245847e+01
REGION,EGNG00ILGX,2067, 1.4286946752839935e+03
REGION,EGNG00ILGX,2068, 7.9359251179713806e+02
REGION,EGNG00ILGX,2069, 2.0053654335110764e+02
REGION,EGNG00ILGX,2070, 1.5309423796603281e+02
REGION,EGNG00ELGX,2015, 218.557993836
REGION,EGNG00ELGX,2017, 296.614420206
REGION,EGNG00ELGX,2030, 3.2132228629539918e+02
REGION,EGCOSCP04N,2025, 3
REGION,EGCOSCP04N,2026, 3
REGION,EGCOSCP04N,2035, 1
REGION,EGCOSCP04N,2036, 1
REGION,EGCOSCP04N,2037, 1
REGION,EGCOSCP04N,2038, 1
REGION,EGCOSCP04N,2039, 1
REGION,EGCOSCP04N,2040, 1
REGION,EGCOSCP04N,2041, 1.5
REGION,EGCOSCP04N,2042, 5.0000000000002609e-01
REGION,EGCOSCP04N,2043, 4.9999999999999922e-01
REGION,EGCOSCP04N,2044, 5.0000000000001266e-01
REGION,EGCOSCP04N,2045, 5.0000000000000688e-01
REGION,EGCOSCP04N,2048, 1.5
REGION,EGCOSCP04N,2049, 5.0000000000003020e-01
REGION,EGCOSCP04N,2050, 5.0000000000000355e-01
REGION,EGCOSCP04N,2051, 5.0000000000001088e-01
REGION,EGCOSCP04N,2052, 5.0000000000000333e-01
REGION,EGCOSCP04N,2053, 5.0000000000001066e-01
REGION,EGCOSCP04N,2054, 4.9999999999989697e-01
REGION,EGCOSCP04N,2055, 1.5
REGION,EGCOSCP04N,2056, 1.5
REGION,EGCOSCP04N,2057, 1.5
REGION,EGCOSCP04N,2058, 1.5
REGION,EGCOSCP04N,2059, 1.5
REGION,EGCOSCP04N,2060, 1.5
REGION,EGCOSCP04N,2061, 5.0000000000013167e-01
REGION,EGCOSCP04N,2062, 4.9999999999998912e-01
REGION,EGCOSCP04N,2063, 4.9999999999999645e-01
REGION,EGCOSCP04N,2064, 4.9999999999998934e-01
REGION,EGCOSCP04N,2065, 1.4999999999999920e+00
REGION,EGCOSCP04N,2066, 1.5000000000000098e+00
REGION,EGCOSCP04N,2067, 1.4999999999999787e+00
REGION,EGCOSCP04N,2068, 1.5
REGION,EGCOSCP04N,2069, 1.4999999999999893e+00
REGION,EGCOSCP04N,2070, 1.4999999999999964e+00
REGION,EGLFRCP04N,2015, 0.35
REGION,EGLFRCP04N,2016, 0.522
REGION,EGNGCCP01N,2015, 0.6
REGION,EGNGCCP01N,2034, 9.4018740978644336e-02
REGION,EGNGCCP01N,2035, 9.6386096612809313e-01
REGION,EGNGCCP01N,2036, 5.8011779614197390e-01
REGION,EGNGCCP01N,2037, 1
REGION,EGNGCCP01N,2039, 1
REGION,EGNGCCP01N,2040, 1
REGION,EGNGCCP01N,2041, 1.5
REGION,EGNGCCP01N,2043, 3.1082008308564890e-01
REGION,EGNGCCP01N,2045, 1.5
REGION,EGNGCCP01N,2046, 1.5
REGION,EGNGCCP01N,2047, 1.5
REGION,EGNGCCP01N,2048, 1.5
REGION,EGNGCCP01N,2049, 1.5
REGION,EGNGCCP01N,2052, 1.5
REGION,EGNGCCP01N,2054, 1.2445314266538474e+00
REGION,EGNGCCP01N,2055, 1.5
REGION,EGNGCCP01N,2056, 1.3117400288265690e+00
REGION,EGNGCCP01N,2058, 8.4384435022789850e-01
REGION,EGNGCCP01N,2059, 0.60041369420179
REGION,EGNGCCP01N,2061, 2.5
REGION,EGNGCCP01N,2064, 2.2660848218756637e+00
REGION,EGNGCCP01N,2066, 1.0984791613069413e+00
REGION,EGNGCCP01N,2067, 6.2041962660935923e-01
REGION,EGNGCCP01N,2068, 2.5
REGION,EGNGCCP01N,2069, 2.5
REGION,EGNGCCP02N,2018, 9.6
REGION,EGNGCCP02N,2034, 1.1813680484633986e-01
REGION,EGNGCCP02N,2038, 1
REGION,EGNGCCP02N,2039, 1
REGION,EGNGCCP02N,2040, 1
REGION,EGNGCCP02N,2043, 1.5
REGION,EGNGCCP02N,2044, 1.9062429850556914e-01
REGION,EGNGCCP02N,2046, 1.5
REGION,EGNGCCP02N,2047, 1.5
REGION,EGNGCCP02N,2048, 1.5
REGION,EGNGCCP02N,2049, 9.6574523517505162e-01
REGION,EGNGCCP02N,2050, 1.4080721527395059e+00
REGION,EGNGCCP02N,2051, 1.5364870758040478e-01
REGION,EGNGCCP02N,2052, 2.4107692831542124e-01
REGION,EGNGCCP02N,2053, 1.5
REGION,EGNGCCP02N,2054, 6.8039360644855273e-01
REGION,EGNGCCP02N,2055, 1.0215497170709105e+00
REGION,EGNGCCP02N,2056, 1.5
REGION,EGNGCCP02N,2058, 6.7797463002590563e-01
REGION,EGNGCCP02N,2060, 1.5
REGION,EGNGCCP02N,2061, 1.7412726754680252e-01
REGION,EGNGCCP02N,2062, 2.5
REGION,EGNGCCP02N,2063, 4.2233088689442350e-01
REGION,EGNGCCP02N,2065, 2.5
REGION,EGNGCCP02N,2066, 1.8846488533253765e+00
REGION,EGNGCCP02N,2069, 2.5
REGION,EGNGCCP02N,2070, 2.3471062412215513e+00
REGION,EGNGCCP04N,2015, 0.25
REGION,EGNGCCP04N,2016, 0.5
REGION,EGNGCCP04N,2017, 0.75
