r,t,y,DiscountedSalvageValue
REGION,EGNG00ILGX,2047, 3.7275159744273971e-02
REGION,EGNG00ILGX,2048, 2.7530139784169995e-02
REGION,EGNG00ILGX,2049, 0.0783809660387918
REGION,EGNG00ILGX,2050, 9.3769207769887356e-02
REGION,EGNG00ILGX,2051, 1.2936109320128072e-01
REGION,EGNG00ILGX,2052, 1.5549444984224378e-01
REGION,EGNG00ILGX,2053, 1.8172320456425656e-01
REGION,EGNG00ILGX,2054, 0.208059152938561
REGION,EGNG00ILGX,2055, 4.6663465402137372e-01
REGION,EGNG00ILGX,2056, 5.3016736681473076e-01
REGION,EGNG00ILGX,2057, 1.7995025340430088e-01
REGION,EGNG00ILGX,2058, 2.0196483513086450e-01
REGION,EGNG00ILGX,2059, 2.2469724344391437e-01
REGION,EGNG00ILGX,2060, 2.5211335911244942e-01
REGION,EGNG00ILGX,2061, 3.9466165529847436e-01
REGION,EGNG00ILGX,2062, 4.2263163565038486e-01
REGION,EGNG00ILGX,2063, 4.5294329160962815e-01
REGION,EGNG00ILGX,2064, 3.3865728934189415e-01
REGION,EGNG00ILGX,2065, 3.4021386259606823e-01
REGION,EGNG00ILGX,2066, 3.2581335277265711e-01
REGION,EGNG00ILGX,2067, 5.59656391617178
REGION,EGNG00ILGX,2068, 3.1528616808555525e+00
REGION,EGNG00ILGX,2069, 8.0685475213496294e-01
REGION,EGNG00ILGX,2070, 6.2301148022231745e-01
REGION,EGCOSCP04N,2042, 5.4313539650246934e-01
REGION,EGCOSCP04N,2043, 1.0368948478682969e+00
REGION,EGCOSCP04N,2044, 1.4857670763827491e+00
REGION,EGCOSCP04N,2045, 1.8938327386685703e+00
REGION,EGCOSCP04N,2048, 8.7258949301290443e+00
REGION,EGCOSCP04N,2049, 3.1873459813902296e+00
REGION,EGCOSCP04N,2050, 3.4407226523116052e+00
REGION,EGCOSCP04N,2051, 3.6710650804221334e+00
REGION,EGCOSCP04N,2052, 3.8804672877952449e+00
REGION,EGCOSCP04N,2053, 4.0708329308618270e+00
REGION,EGCOSCP04N,2054, 4.24389260637586
REGION,EGCOSCP04N,2055, 1.3203658752352952e+01
REGION,EGCOSCP04N,2056, 1.3632732328010059e+01
REGION,EGCOSCP04N,2057, 1.4022799214971027e+01
REGION,EGCOSCP04N,2058, 14.3774054758446
REGION,EGCOSCP04N,2059, 1.4699774803911513e+01
REGION,EGCOSCP04N,2060, 1.4992837829426874e+01
REGION,EGCOSCP04N,2061, 5.0864195872391909e+00
REGION,EGCOSCP04N,2062, 5.1671532030821972e+00
REGION,EGCOSCP04N,2063, 5.2405473993045124e+00
REGION,EGCOSCP04N,2064, 5.3072693958700832e+00
REGION,EGCOSCP04N,2065, 1.6103777269153280e+01
REGION,EGCOSCP04N,2066, 1.6269203706919566e+01
REGION,EGCOSCP04N,2067, 1.6419591377615671e+01
REGION,EGCOSCP04N,2068, 1.6556307441885462e+01
REGION,EGCOSCP04N,2069, 1.6680594773039410e+01
REGION,EGCOSCP04N,2070, 1.6793583255906860e+01
REGION,EGNGCCP01N,2043, 2.5636524992710652e-01
REGION,EGNGCCP01N,2045, 2.2596867904567852e+00
REGION,EGNGCCP01N,2046, 2.7023199985147643e+00
REGION,EGNGCCP01N,2047, 3.10471382402202
REGION,EGNGCCP01N,2048, 3.4705263926649734e+00
REGION,EGNGCCP01N,2049, 3.8030832732494786e+00
REGION,EGNGCCP01N,2052, 4.6301030138465613e+00
REGION,EGNGCCP01N,2054, 4.2013186408929908e+00
REGION,EGNGCCP01N,2055, 5.2514551855949350e+00
REGION,EGNGCCP01N,2056, 4.7415986696402079e+00
REGION,EGNGCCP01N,2058, 3.2168957072761284e+00
REGION,EGNGCCP01N,2059, 2.3402129794566755e+00
REGION,EGNGCCP01N,2061, 1.0115038951893458e+01
REGION,EGNGCCP01N,2064, 9.5667111778530547e+00
REGION,EGNGCCP01N,2066, 4.7386238144606319e+00
REGION,EGNGCCP01N,2067, 2.7011082295852686e+00
REGION,EGNGCCP01N,2068, 1.0974825008825576e+01
