r,t,y,TotalCapacityAnnual
REGION,EGWA00000X,2015, 1.3522200156978821e+04
REGION,EGWA00000X,2016, 1.3522200156978821e+04
REGION,EGWA00000X,2017, 1.3522200156978821e+04
REGION,EGWA00000X,2018, 1.1352120015697883e+05
REGION,EGWA00000X,2019, 2.1352020015697883e+05
REGION,EGWA00000X,2020, 3.1351920015697880e+05
REGION,EGWA00000X,2021, 4.1351820015697880e+05
REGION,EGWA00000X,2022, 5.1351720015697880e+05
REGION,EGWA00000X,2023, 6.1351620015697880e+05
REGION,EGWA00000X,2024, 7.1351520015697880e+05
REGION,EGWA00000X,2025, 8.1351420015697880e+05
REGION,EGWA00000X,2026, 9.1351320015697880e+05
REGION,EGWA00000X,2027, 1.0135122001569788e+06
REGION,EGWA00000X,2028, 1.1135112001569788e+06
REGION,EGWA00000X,2029, 1.2135102001569788e+06
REGION,EGWA00000X,2030, 1.3135092001569788e+06
REGION,EGWA00000X,2031, 1.4135082001569788e+06
REGION,EGWA00000X,2032, 1.5135072001569788e+06
REGION,EGWA00000X,2033, 1.6135062001569788e+06
REGION,EGWA00000X,2034, 1.7135052001569788e+06
REGION,EGWA00000X,2035, 1.8135042001569788e+06
REGION,EGWA00000X,2036, 1.9135032001569788e+06
REGION,EGWA00000X,2037, 2.0135022001569788e+06
REGION,EGWA00000X,2038, 2.1135012001569788e+06
REGION,EGWA00000X,2039, 2.2135002001569788e+06
REGION,EGWA00000X,2040, 2.3134992001569788e+06
REGION,EGWA00000X,2041, 2.4134982001569788e+06
REGION,EGWA00000X,2042, 2.5134972001569788e+06
REGION,EGWA00000X,2043, 2.6134962001569788e+06
REGION,EGWA00000X,2044, 2.7134952001569788e+06
REGION,EGWA00000X,2045, 2.8134942001569788e+06
REGION,EGWA00000X,2046, 2.9134932001569788e+06
REGION,EGWA00000X,2047, 3.0134922001569788e+06
REGION,EGWA00000X,2048, 3.1134912001569788e+06
REGION,EGWA00000X,2049, 3.2134902001569788e+06
REGION,EGWA00000X,2050, 3.3134892001569788e+06
REGION,EGWA00000X,2051, 3.4134882001569788e+06
REGION,EGWA00000X,2052, 3.5134872001569788e+06
REGION,EGWA00000X,2053, 3.6134862001569788e+06
REGION,EGWA00000X,2054, 3.7134852001569788e+06
REGION,EGWA00000X,2055, 3.8134842001569788e+06
REGION,EGWA00000X,2056, 3.9134832001569788e+06
REGION,EGWA00000X,2057, 4.0134822001569788e+06
REGION,EGWA00000X,2058, 4.1134812001569788e+06
REGION,EGWA00000X,2059, 4.2134802001569793e+06
REGION,EGWA00000X,2060, 4.3134792001569793e+06
REGION,EGWA00000X,2061, 4.4134782001569793e+06
REGION,EGWA00000X,2062, 4.5134772001569793e+06
REGION,EGWA00000X,2063, 4.6134762001569793e+06
REGION,EGWA00000X,2064, 4.7134752001569793e+06
REGION,EGWA00000X,2065, 4.8134742001569793e+06
REGION,EGWA00000X,2066, 4.9134732001569793e+06
REGION,EGWA00000X,2067, 5.0134722001569793e+06
REGION,EGWA00000X,2068, 5.1134712001569793e+06
REGION,EGWA00000X,2069, 5.2134702001569793e+06
REGION,EGWA00000X,2070, 5.3134692001569793e+06
REGION,EGFW00P00X,2015, 99999
REGION,EGFW00P00X,2016, 99999
REGION,EGFW00P00X,2017, 99999
REGION,EGFW00P00X,2018, 99999
REGION,EGFW00P00X,2019, 99999
REGION,EGFW00P00X,2020, 99999
REGION,EGFW00P00X,2021, 99999
REGION,EGFW00P00X,2022, 99999
REGION,EGFW00P00X,2023, 99999
REGION,EGFW00P00X,2024, 99999
REGION,EGFW00P00X,2025, 99999
REGION,EGFW00P00X,2026, 99999
REGION,EGFW00P00X,2027, 99999
REGION,EGFW00P00X,2028, 99999
REGION,EGFW00P00X,2029, 99999
REGION,EGFW00P00X,2030, 99999
REGION,EGFW00P00X,2031, 99999
REGION,EGFW00P00X,2032, 99999
REGION,EGFW00P00X,2033, 99999
REGION,EGFW00P00X,2034, 99999
REGION,EGFW00P00X,2035, 99999
REGION,EGFW00P00X,2036, 99999
REGION,EGFW00P00X,2037, 99999
REGION,EGFW00P00X,2038, 99999
REGION,EGFW00P00X,2039, 99999
REGION,EGFW00P00X,2040, 99999
REGION,EGFW00P00X,2041, 99999
REGION,EGFW00P00X,2042, 99999
REGION,EGFW00P00X,2043, 99999
REGION,EGFW00P00X,2044, 99999
REGION,EGFW00P00X,2045, 99999
REGION,EGFW00P00X,2046, 99999
REGION,EGFW00P00X,2047, 99999
REGION,EGFW00P00X,2048, 99999
REGION,EGFW00P00X,2049, 99999
REGION,EGFW00P00X,2050, 99999
REGION,EGFW00P00X,2051, 99999
REGION,EGFW00P00X,2052, 99999
REGION,EGFW00P00X,2053, 99999
REGION,EGFW00P00X,2054, 99999
REGION,EGFW00P00X,2055, 99999
REGION,EGFW00P00X,2056, 99999
REGION,EGFW00P00X,2057, 99999
REGION,EGFW00P00X,2058, 99999
REGION,EGFW00P00X,2059, 99999
REGION,EGFW00P00X,2060, 99999
REGION,EGFW00P00X,2061, 99999
REGION,EGFW00P00X,2062, 99999
REGION,EGFW00P00X,2063, 99999
REGION,EGFW00P00X,2064, 99999
REGION,EGFW00P00X,2065, 99999
REGION,EGFW00P00X,2066, 99999
REGION,EGFW00P00X,2067, 99999
REGION,EGFW00P00X,2068, 99999
REGION,EGFW00P00X,2069, 99999
REGION,EGFW00P00X,2070, 99999
REGION,EGCO00P00X,2015, 99999
REGION,EGCO00P00X,2016, 99999
REGION,EGCO00P00X,2017, 99999
REGION,EGCO00P00X,2018, 99999
REGION,EGCO00P00X,2019, 99999
REGION,EGCO00P00X,2020, 99999
REGION,EGCO00P00X,2021, 99999
REGION,EGCO00P00X,2022, 99999
REGION,EGCO00P00X,2023, 99999
REGION,EGCO00P00X,2024, 99999
REGION,EGCO00P00X,2025, 99999
REGION,EGCO00P00X,2026, 99999
REGION,EGCO00P00X,2027, 99999
REGION,EGCO00P00X,2028, 99999
REGION,EGCO00P00X,2029, 99999
REGION,EGCO00P00X,2030, 99999
REGION,EGCO00P00X,2031, 99999
REGION,EGCO00P00X,2032, 99999
REGION,EGCO00P00X,2033, 99999
REGION,EGCO00P00X,2034, 99999
