,y,Backstop,Biofuel and Biomass production,Biomass,Biomass exports,Coal,Coal Production,Coal exports,Crude Oil production,Crude oil Refinery,Crude oil exports,Gas,Geothermal,HFO exports,Hydro,LFO exports,Natural gas extraction,Nuclear,Oil,Solar CSP,Solar FPV,Solar PV,Transmission & Distribution,Uranium extraction,Wind
0,2015.0,0.0,0.0,4.01,0.0,0.0,0.16,0.0,135.12,73.71,0.0,66.41,0.0,0.0,13445.349999999999,0.0,1.38,0.0,16.459999999999997,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,5.26,0.0,0.0,0.15,0.0,113.84,72.35,0.0,67.78,0.0,0.0,13937.949999999999,0.0,1.39,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,5.26,0.0,0.0,0.19,0.0,119.76999999999998,70.91,0.0,68.76,0.0,0.0,14108.26,0.0,1.41,0.0,10.39,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,5.26,0.0,0.0,0.19,0.0,132.09,71.36,0.0,73.16,0.0,0.0,14328.73,0.0,1.42,0.0,10.38,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,5.02,0.0,0.0,0.21,0.0,126.74000000000001,70.24,0.0,75.23,0.0,0.0,13145.36,0.0,1.64,0.0,10.169999999999998,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,5.02,0.0,0.0,0.23,0.0,105.8,69.14,0.0,72.30999999999999,0.04,0.0,13253.68,0.0,1.66,0.0,10.009999999999998,0.0,0.0,0.01,0.0,0.0,0.0
6,2021.0,0.0,0.0,6.44,0.0,0.0,0.23,0.0,107.14999999999999,70.58000000000001,0.0,55.52,0.09,0.0,19828.68,0.0,1.52,0.0,19.339999999999996,0.32,0.0,0.03,0.0,0.0,0.01
7,2022.0,0.0,0.0,6.7,0.0,0.0,0.23,0.0,108.49,72.01,0.0,60.19,0.12,0.0,20439.68,0.0,1.58,0.0,18.37,0.48,0.0,0.05,0.0,0.0,0.01
8,2023.0,0.0,0.0,6.96,0.0,0.0,0.24,0.0,109.83,73.46000000000001,0.0,65.64999999999999,0.18,0.0,20699.18,0.0,1.65,0.0,22.14,0.64,0.0,0.06,0.0,0.0,0.01
9,2024.0,0.0,0.0,7.199999999999999,0.0,0.0,0.24,0.0,111.17,74.92,0.0,67.93,0.30000000000000004,0.0,21464.64,0.0,1.69,0.0,15.709999999999997,0.64,0.0,0.08,0.0,0.0,0.01
10,2025.0,0.0,0.0,5.72,0.0,9.56,3.21,0.0,112.67,89.46000000000001,0.0,59.86,0.41000000000000003,0.0,22360.46,0.0,2.06,0.0,10.129999999999999,0.64,0.0,0.09,0.0,0.0,0.01
11,2026.0,0.0,0.0,5.48,0.0,19.12,1.33,0.0,112.82,90.51,0.0,52.8,0.45000000000000007,0.0,22484.19,0.0,2.02,0.0,7.0,0.64,0.0,0.1,0.0,0.0,0.01
12,2027.0,0.0,0.0,5.2299999999999995,0.0,19.12,0.0,0.0,103.85,83.7,0.0,52.77,0.5,0.0,22646.309999999998,0.0,2.0300000000000002,0.0,6.49,0.64,0.0,0.12,0.0,0.0,0.01
13,2028.0,0.0,0.0,5.0600000000000005,0.0,19.12,0.0,0.0,94.86999999999999,76.93,0.0,52.540000000000006,0.51,0.0,23669.04,0.0,2.06,0.0,6.010000000000001,0.64,0.0,0.12,0.0,0.0,0.01
14,2029.0,0.0,0.0,4.83,0.0,19.12,0.0,0.0,85.89,70.17,0.0,53.85,0.52,0.0,23780.46,0.0,1.65,0.0,5.51,0.64,0.0,0.12,0.0,0.0,0.01
15,2030.0,0.0,0.0,4.5600000000000005,0.0,19.12,0.0,0.0,54.43,51.989999999999995,0.0,52.5,0.52,0.0,26203.649999999998,0.0,1.66,0.0,4.9799999999999995,0.64,0.0,0.13,0.0,0.0,0.01
16,2031.0,0.0,0.0,4.3,0.0,19.12,0.0,0.0,0.0,16.96,0.0,56.65,0.53,0.0,26302.649999999998,0.0,1.71,0.0,4.5,0.64,0.0,0.16,0.0,0.0,0.01
17,2032.0,0.0,0.0,4.04,0.0,19.12,0.0,0.0,0.0,17.080000000000002,0.0,60.31,0.54,0.0,26370.039999999997,0.0,1.76,0.0,4.0,0.64,0.0,0.19,0.0,0.0,0.02
18,2033.0,0.0,0.0,3.78,0.0,19.12,0.0,0.0,0.0,17.2,0.0,62.84,0.57,0.0,26430.799999999996,0.0,1.81,0.0,3.5100000000000002,0.64,0.0,0.26,0.0,0.0,0.02
19,2034.0,0.0,0.0,3.51,0.0,19.12,0.0,0.0,0.0,17.35,0.0,64.6,0.66,0.0,26545.18,0.0,1.84,0.0,6.5,0.64,0.0,0.37,0.0,0.0,0.02
20,2035.0,0.0,0.0,3.25,0.0,19.12,0.0,0.0,0.0,18.060000000000002,0.0,66.58,0.76,0.0,28602.22,0.0,1.86,0.0,8.03,0.64,0.0,0.4,0.0,0.0,0.02
21,2036.0,0.0,0.0,3.25,0.0,22.31,0.0,0.0,0.0,18.610000000000003,0.0,68.25999999999999,0.85,0.0,28678.04,0.0,1.8800000000000001,0.0,7.4799999999999995,0.64,0.0,0.52,0.0,0.0,0.02
22,2037.0,0.0,0.0,3.25,0.0,25.49,0.0,0.0,0.0,19.17,0.0,70.00000000000001,0.93,0.0,28666.399999999998,0.0,1.9,0.0,6.93,0.64,0.0,0.68,0.0,0.0,0.02
23,2038.0,0.0,0.0,3.25,0.0,28.68,0.0,0.0,0.0,24.52,0.0,71.37,1.0,0.0,28642.479999999996,0.0,1.49,0.0,6.34,0.64,0.0,0.85,0.0,0.0,0.03
24,2039.0,0.0,0.0,3.25,0.0,31.87,0.0,0.0,0.0,25.11,0.0,69.28,1.08,0.0,28646.339999999997,0.0,1.3900000000000001,0.0,5.45,0.64,0.0,1.02,0.0,0.0,0.03
25,2040.0,0.0,0.0,3.25,0.0,35.05,0.0,0.0,0.0,25.720000000000002,0.0,70.39,1.1600000000000001,0.0,28666.03,0.0,1.32,0.0,2.17,0.64,0.0,1.2000000000000002,0.0,0.0,0.03
26,2041.0,0.0,0.0,3.25,0.0,39.83,0.0,0.0,0.0,26.200000000000003,0.0,69.59,1.2399999999999998,0.0,28639.269999999997,0.0,1.32,0.0,0.0,0.64,0.0,1.39,0.0,0.0,0.03
27,2042.0,0.0,0.0,3.25,0.0,44.61,0.0,0.0,0.0,26.69,0.0,69.82000000000001,1.3199999999999998,0.0,28622.14,0.0,1.0,0.0,0.0,0.64,0.0,1.5799999999999998,0.0,0.0,0.03
28,2043.0,0.0,0.0,3.25,0.0,46.21,0.0,0.0,0.0,27.200000000000003,0.0,72.05000000000001,1.3899999999999997,0.0,28626.47,0.0,0.060000000000000005,0.0,0.0,0.64,0.0,1.79,0.0,0.0,0.03
29,2044.0,0.0,0.0,3.25,0.0,47.8,0.0,0.0,0.0,27.71,0.0,74.3,1.4699999999999998,0.0,28611.979999999996,0.0,0.02,0.0,0.0,0.64,0.0,2.02,0.0,0.0,0.04
30,2045.0,0.0,0.0,3.25,0.0,49.39,0.0,0.0,0.0,28.23,0.0,76.6,1.5099999999999998,0.0,28597.479999999996,0.0,0.02,0.0,0.0,0.64,0.0,2.27,0.0,0.0,0.04
31,2046.0,0.0,0.0,3.25,0.0,49.39,0.0,0.0,0.0,28.77,0.0,82.75,1.54,0.0,28620.659999999996,0.0,0.03,0.0,0.0,0.32,0.0,2.48,0.0,0.0,0.04
32,2047.0,0.0,0.0,3.25,0.0,52.18,0.0,0.0,0.0,29.310000000000002,0.0,83.63,1.5899999999999999,0.0,28555.92,0.0,0.02,0.0,0.0,0.16,0.0,2.79,0.0,0.0,0.04
33,2048.0,0.0,0.0,3.25,0.0,67.7,0.0,0.0,0.0,29.87,0.0,83.47,1.6,0.0,28548.51,0.0,0.03,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.04
34,2049.0,0.0,0.0,3.25,0.0,69.52000000000001,0.0,0.0,0.0,30.450000000000003,0.0,86.0,1.6,0.0,28510.699999999997,0.0,0.03,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.05
35,2050.0,0.0,0.0,3.25,0.0,71.11,0.0,0.0,0.0,31.03,0.0,89.3,1.62,0.0,28487.239999999998,0.0,0.03,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.05
36,2051.0,0.0,0.0,3.25,0.0,72.7,0.0,0.0,0.0,31.490000000000002,0.0,92.11,1.67,0.0,28408.94,0.0,0.02,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.05
37,2052.0,0.0,0.0,3.25,0.0,74.3,0.0,0.0,0.0,31.970000000000002,0.0,95.17,1.65,0.0,28403.989999999998,0.0,0.02,0.0,0.0,0.0,0.0,4.1499999999999995,0.0,0.0,0.05
38,2053.0,0.0,0.0,3.25,0.0,75.89,0.0,0.0,0.0,32.44,0.0,98.49,1.65,0.0,28359.409999999996,0.0,0.02,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.05
39,2054.0,0.0,0.0,3.25,0.0,77.47999999999999,0.0,0.0,0.0,32.93,0.0,102.16,1.63,0.0,28308.53,0.0,0.02,0.0,0.0,0.0,0.0,4.669999999999999,0.0,0.0,0.05
40,2055.0,0.0,0.0,3.25,0.0,72.41,0.0,0.0,0.0,28.65,0.0,110.91,1.6,0.0,28266.94,0.0,0.02,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.06
41,2056.0,0.0,0.0,2.0,0.0,67.72,0.0,0.0,0.0,29.15,0.0,120.02,1.5899999999999999,0.0,28235.85,0.0,0.02,0.0,0.0,0.1,0.0,5.23,0.0,0.0,0.06
42,2057.0,0.0,0.0,2.0,0.0,72.77000000000001,0.0,0.0,0.0,29.66,0.0,121.64,1.6799999999999997,0.0,28233.449999999997,0.0,0.02,0.0,0.0,0.1,0.0,5.39,0.0,0.0,0.07
