,y,CO2
0,2015,10.9116
1,2016,12.0473
2,2017,12.5694
3,2018,14.3705
4,2019,17.6799
5,2020,22.8514
6,2021,23.7605
7,2022,24.8686
8,2023,20.3088
9,2024,21.4482
10,2025,23.4105
11,2026,25.2605
12,2027,26.7528
13,2028,28.8709
14,2029,30.8075
15,2030,34.0966
16,2031,35.6175
17,2032,36.611
18,2033,37.9265
19,2034,39.093
20,2035,40.9851
21,2036,42.134
22,2037,43.5104
23,2038,45.0667
24,2039,46.655
25,2040,48.4078
26,2041,48.8152
27,2042,49.3574
28,2043,49.9792
29,2044,50.6779
30,2045,51.5409
31,2046,52.2746
32,2047,53.089
33,2048,54.0279
34,2049,54.8438
35,2050,57.9595
36,2051,58.5522
37,2052,59.1645
38,2053,59.4009
39,2054,60.4634
40,2055,61.1593
41,2056,61.8694
42,2057,62.5938
43,2058,63.37
44,2059,64.1733
45,2060,65.0021
46,2061,65.8536
47,2062,66.7055
48,2063,67.4817
49,2064,68.3462
50,2065,69.2381
51,2066,70.0191
52,2067,70.8877
53,2068,71.3496
54,2069,71.987
55,2070,72.9317
