r,t,y,NewCapacity
REGION,EGCRUDPROX,2020, 100.5
REGION,EGNG00ILGX,2049, 1.3156147733597427e+03
REGION,EGNG00ILGX,2050, 1.9141246763594259e+02
REGION,EGNG00ILGX,2057, 4.3431618134690439e+01
REGION,EGNG00ILGX,2058, 6.2746244034064418e+01
REGION,EGNG00ILGX,2059, 6.5382755568386813e+01
REGION,EGNG00ILGX,2060, 6.9085054505135233e+01
REGION,EGNG00ILGX,2061, 6.8331082892725888e+01
REGION,EGNG00ILGX,2062, 7.1893585543143743e+01
REGION,EGNG00ILGX,2063, 7.8332535353828618e+01
REGION,EGNG00ILGX,2064, 8.1976411406122921e+01
REGION,EGNG00ILGX,2065, 8.5720284487761020e+01
REGION,EGNG00ILGX,2066, 1.1900614716074286e+02
REGION,EGNG00ILGX,2069, 5.9611438533864787e+00
REGION,EGNG00ELGX,2015, 218.557993836
REGION,EGNG00ELGX,2017, 296.614420206
REGION,EGBMCHC04N,2021, 0.1
REGION,EGBMCHC04N,2022, 0.1
REGION,EGBMCHC04N,2023, 0.1
REGION,EGBMCHC04N,2024, 0.1
REGION,EGBMCHC04N,2025, 0.1
REGION,EGBMCHC04N,2026, 0.1
REGION,EGBMCHC04N,2027, 0.1
REGION,EGBMCHC04N,2028, 0.1
REGION,EGBMCHC04N,2029, 0.1
REGION,EGBMCHC04N,2030, 0.1
REGION,EGBMCHC04N,2041, 0.1
REGION,EGBMCHC04N,2042, 0.1
REGION,EGBMCHC04N,2043, 5.0000000000000044e-02
REGION,EGBMCHC04N,2051, 0.1
REGION,EGBMCHC04N,2052, 0.1
REGION,EGBMCHC04N,2053, 4.9999999999999822e-02
REGION,EGBMCHC04N,2061, 0.1
REGION,EGBMCHC04N,2062, 0.1
REGION,EGBMCHC04N,2063, 1.0000000000000009e-01
REGION,EGBMCHC04N,2064, 1.0000000000000009e-01
REGION,EGBMCHC04N,2065, 1.0000000000000009e-01
REGION,EGBMCHC04N,2066, 9.9999999999999978e-02
REGION,EGBMCHC04N,2067, 9.9999999999999978e-02
REGION,EGBMCHC04N,2068, 9.9999999999999978e-02
REGION,EGBMCHC04N,2069, 9.9999999999999978e-02
REGION,EGBMCHC04N,2070, 9.9999999999999978e-02
REGION,EGBMCHP04N,2016, 0.25
REGION,EGBMCHP04N,2021, 0.1
REGION,EGBMCHP04N,2022, 9.7830495234442844e-02
REGION,EGBMCHP04N,2054, 9.9999999999999867e-02
REGION,EGBMCHP04N,2055, 0.1
REGION,EGBMCHP04N,2056, 0.1
REGION,EGBMCHP04N,2057, 0.1
REGION,EGBMCHP04N,2058, 0.1
REGION,EGBMCHP04N,2059, 0.1
REGION,EGBMCHP04N,2060, 0.1
REGION,EGBMCHP04N,2061, 0.1
REGION,EGBMCHP04N,2062, 0.1
REGION,EGBMCHP04N,2063, 0.1
REGION,EGBMCHP04N,2064, 0.1
REGION,EGBMCHP04N,2065, 0.1
REGION,EGBMCHP04N,2066, 0.1
REGION,EGBMCHP04N,2067, 0.1
REGION,EGBMCHP04N,2068, 0.1
REGION,EGCOSCP04N,2025, 3
REGION,EGCOSCP04N,2026, 3
REGION,EGLFRCP04N,2015, 0.35
REGION,EGLFRCP04N,2016, 0.522
REGION,EGNGCCP01N,2015, 0.6
REGION,EGNGCCP01N,2035, 1
REGION,EGNGCCP01N,2036, 1
REGION,EGNGCCP01N,2037, 2.3083158723276231e-01
REGION,EGNGCCP01N,2041, 7.0501612601209784e-01
REGION,EGNGCCP01N,2047, 8.5396418080134062e-01
REGION,EGNGCCP01N,2048, 1.5
REGION,EGNGCCP02N,2018, 9.6
REGION,EGNGCCP02N,2036, 1
REGION,EGNGCCP02N,2037, 2.1553991650477952e-01
REGION,EGNGCCP02N,2047, 1.5
REGION,EGNGCCP02N,2048, 1.5
REGION,EGNGCCP04N,2015, 0.25
REGION,EGNGCCP04N,2016, 0.5
REGION,EGNGCCP04N,2017, 0.75
REGION,EGNGCCP04N,2018, 4.8
REGION,EGNGCCP04N,2035, 4.5513542673396318e-01
REGION,EGNGCCP04N,2036, 4.3451276298331104e-01
REGION,EGNGCCP04N,2037, 6.0088310984425852e-01
REGION,EGNGCCP04N,2047, 1.5
REGION,EGNGCCP04N,2048, 1.5
REGION,EGNGCCC01N,2048, 1.5
REGION,EGNGCCC01N,2049, 9.0985814036196089e-01
REGION,EGNGCCC01N,2060, 6.3997892235752674e-01
REGION,EGNGCCC01N,2065, 1.1395780110619065e+00
REGION,EGNGCCC01N,2066, 2.5
REGION,EGNGCCC01N,2067, 5.4886396418231187e-01
REGION,EGNGCCC01N,2070, 2.5
REGION,EGNGCCC02N,2042, 6.8687833399957890e-02
REGION,EGNGCCC02N,2043, 1.4121577086528374e+00
REGION,EGNGCCC02N,2044, 1.4343449917799640e+00
REGION,EGNGCCC02N,2045, 1.5
REGION,EGNGCCC02N,2046, 1.5
REGION,EGNGCCC02N,2047, 0.821944432671083
REGION,EGNGCCC02N,2048, 1.5
REGION,EGNGCCC02N,2049, 1.5
REGION,EGNGCCC02N,2050, 1.1278162399589660e+00
REGION,EGNGCCC02N,2051, 7.4175349294019130e-02
REGION,EGNGCCC02N,2052, 0.00915348359908991
REGION,EGNGCCC02N,2053, 6.4924557520707726e-01
REGION,EGNGCCC02N,2055, 7.4105630388558674e-01
REGION,EGNGCCC02N,2056, 4.3232858434058152e-01
REGION,EGNGCCC02N,2057, 1.2847750668070774e+00
REGION,EGNGCCC02N,2058, 1.2833048346959175e+00
REGION,EGNGCCC02N,2059, 1.5
REGION,EGNGCCC02N,2060, 1.5
REGION,EGNGCCC02N,2061, 1.8892755702985606e+00
REGION,EGNGCCC02N,2062, 1.9133242350406845e+00
REGION,EGNGCCC02N,2063, 2.4499580866443105e+00
REGION,EGNGCCC02N,2064, 2.5
REGION,EGNGCCC02N,2065, 2.5
REGION,EGNGCCC02N,2066, 2.5
REGION,EGNGCCC02N,2067, 2.5
REGION,EGNGCCC02N,2069, 1.3959733866005136e-01
REGION,EGNGCCC04N,2045, 3.2724258128088879e-01
REGION,EGNGCCC04N,2046, 0.898553581128692
REGION,EGNGCCC04N,2048, 1.5
REGION,EGNGCCC04N,2059, 5.7880015745600177e-01
REGION,EGNGCCC04N,2064, 0.988683572902193
REGION,EGNGCCC04N,2066, 2.5127813792082448e-01
REGION,EGNGCCC04N,2069, 2.5
REGION,EGNGCCC04N,2070, 2.4006552276161458e-01
REGION,EGNGGCP04N,2015, 1.95
REGION,EGNGGCP04N,2016, 0.65
REGION,EGNGGCP04N,2017, 0.33
REGION,EGNGGCP04N,2018, 1.95
REGION,EGNGGCP04N,2048, 3.3526830064057705e-01
REGION,EGNGGCP04N,2056, 7.9438063637718537e-01
REGION,EGHFGCP01N,2016, 1
REGION,EGHFGCP02N,2015, 1
REGION,EGWINDP00X,2015, 0.24
REGION,EGWINDP00X,2016, 0.2
REGION,EGWINDP00X,2018, 0.34
REGION,EGWINDP00X,2021, 0.25
REGION,EGWINDP00X,2022, 0.25
REGION,EGWINDP00X,2023, 0.25
REGION,EGWINDP00X,2024, 0.25
REGION,EGWINDP00X,2025, 0.25
REGION,EGWINDP00X,2026, 0.25
REGION,EGWINDP00X,2027, 0.25
REGION,EGWINDP00X,2028, 0.25
REGION,EGWINDP00X,2029, 0.25
REGION,EGWINDP00X,2030, 0.25
REGION,EGWINDP00X,2031, 0.5
REGION,EGWINDP00X,2032, 0.5
REGION,EGWINDP00X,2033, 0.5
REGION,EGWINDP00X,2034, 0.5
REGION,EGWINDP00X,2035, 0.5
REGION,EGWINDP00X,2036, 0.5
REGION,EGWINDP00X,2037, 0.5
REGION,EGWINDP00X,2038, 0.5
REGION,EGWINDP00X,2039, 0.5
REGION,EGWINDP00X,2040, 0.5
REGION,EGWINDP00X,2041, 0.75
REGION,EGWINDP00X,2042, 0.75
REGION,EGWINDP00X,2043, 0.75
REGION,EGWINDP00X,2044, 0.75
REGION,EGWINDP00X,2045, 0.75
REGION,EGWINDP00X,2046, 0.75
REGION,EGWINDP00X,2047, 0.75
REGION,EGWINDP00X,2048, 0.75
REGION,EGWINDP00X,2049, 0.75
REGION,EGWINDP00X,2050, 0.75
REGION,EGWINDP00X,2051, 0.75
REGION,EGWINDP00X,2052, 0.750000000002185
REGION,EGWINDP00X,2053, 0.75
REGION,EGWINDP00X,2054, 7.5000000000018430e-01
REGION,EGWINDP00X,2055, 0.75
REGION,EGWINDP00X,2056, 7.5000000000034994e-01
REGION,EGWINDP00X,2057, 0.75
REGION,EGWINDP00X,2058, 0.75
REGION,EGWINDP00X,2059, 0.75
REGION,EGWINDP00X,2060, 0.75
REGION,EGWINDP00X,2061, 1
REGION,EGWINDP00X,2062, 1
REGION,EGWINDP00X,2063, 1
REGION,EGWINDP00X,2064, 1
REGION,EGWINDP00X,2065, 1
REGION,EGWINDP00X,2066, 1
REGION,EGWINDP00X,2067, 1
REGION,EGWINDP00X,2068, 1
REGION,EGWINDP00X,2069, 1
REGION,EGWINDP00X,2070, 1
REGION,EGWINDP01X,2041, 0.75
REGION,EGWINDP01X,2042, 0.75
REGION,EGWINDP01X,2043, 0.75
REGION,EGWINDP01X,2044, 0.75
REGION,EGWINDP01X,2045, 0.75
REGION,EGWINDP01X,2046, 0.75
REGION,EGWINDP01X,2047, 0.75
REGION,EGWINDP01X,2048, 0.75
REGION,EGWINDP01X,2049, 0.75
REGION,EGWINDP01X,2050, 0.75
REGION,EGWINDP01X,2051, 0.75
REGION,EGWINDP01X,2052, 0.75
REGION,EGWINDP01X,2053, 0.75
REGION,EGWINDP01X,2054, 0.75
REGION,EGWINDP01X,2055, 0.75
REGION,EGWINDP01X,2056, 0.75
REGION,EGWINDP01X,2057, 0.75
REGION,EGWINDP01X,2058, 0.75
REGION,EGWINDP01X,2059, 0.75
REGION,EGWINDP01X,2060, 0.75
