Latitude (decimal degrees):	9.990
Longitude (decimal degrees):	34.900
Elevation (m):	1231
Radiation database:	PVGIS-SARAH2


Slope: 17 deg. (optimum)
Azimuth: 4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,18.71,1.03,0.0
20190101:0107,0.0,0.0,0.0,18.44,0.97,0.0
20190101:0207,0.0,0.0,0.0,19.36,0.69,0.0
20190101:0307,0.0,0.0,0.0,19.71,0.34,0.0
20190101:0407,0.0,0.0,0.0,19.69,0.07,0.0
20190101:0507,204.99,279.16,14.75,19.82,0.28,0.0
20190101:0607,413.74,539.39,27.57,22.37,0.34,0.0
20190101:0707,578.31,766.39,39.42,24.34,0.9,0.0
20190101:0807,684.44,930.86,49.4,26.18,1.17,0.0
20190101:0907,739.76,1024.31,55.8,27.73,1.38,0.0
20190101:1007,744.74,1037.76,56.51,28.84,1.45,0.0
20190101:1107,668.51,920.51,51.21,29.57,1.45,0.0
20190101:1207,605.11,820.83,41.85,29.8,1.52,0.0
20190101:1307,454.96,605.22,30.31,29.86,1.66,0.0
20190101:1407,269.62,365.86,17.66,29.31,1.72,0.0
20190101:1507,38.33,76.11,4.4,28.29,1.45,0.0
20190101:1607,0.0,0.0,0.0,26.4,1.31,0.0
20190101:1707,0.0,0.0,0.0,24.68,1.24,0.0
20190101:1807,0.0,0.0,0.0,23.47,1.45,0.0
20190101:1907,0.0,0.0,0.0,22.26,1.59,0.0
20190101:2007,0.0,0.0,0.0,21.11,1.59,0.0
20190101:2107,0.0,0.0,0.0,20.19,1.52,0.0
20190101:2207,0.0,0.0,0.0,19.2,1.52,0.0
20190101:2307,0.0,0.0,0.0,18.52,1.52,0.0
20190102:0007,0.0,0.0,0.0,18.08,1.59,0.0
20190102:0107,0.0,0.0,0.0,17.92,1.66,0.0
20190102:0207,0.0,0.0,0.0,17.73,1.66,0.0
20190102:0307,0.0,0.0,0.0,17.31,1.59,0.0
20190102:0407,0.0,0.0,0.0,17.11,1.38,0.0
20190102:0507,177.76,239.53,14.68,18.09,1.1,0.0
20190102:0607,405.78,517.23,27.52,21.81,2.07,0.0
20190102:0707,584.04,752.82,39.39,23.54,2.48,0.0
20190102:0807,685.27,904.4,49.4,25.48,2.62,0.0
20190102:0907,754.09,1015.0,55.86,27.2,2.76,0.0
20190102:1007,753.7,1022.9,56.61,28.36,2.69,0.0
20190102:1107,710.78,962.11,51.34,28.86,2.48,0.0
20190102:1207,601.66,804.1,41.98,29.13,2.21,0.0
20190102:1307,445.96,587.74,30.44,29.02,2.07,0.0
20190102:1407,262.7,354.45,17.78,28.53,2.0,0.0
20190102:1507,40.48,79.0,4.51,27.52,1.45,0.0
20190102:1607,0.0,0.0,0.0,26.01,1.24,0.0
20190102:1707,0.0,0.0,0.0,24.64,1.17,0.0
20190102:1807,0.0,0.0,0.0,23.36,1.24,0.0
20190102:1907,0.0,0.0,0.0,23.48,0.76,0.0
20190102:2007,0.0,0.0,0.0,24.12,0.62,0.0
20190102:2107,0.0,0.0,0.0,21.42,1.38,0.0
20190102:2207,0.0,0.0,0.0,21.02,2.28,0.0
20190102:2307,0.0,0.0,0.0,21.12,2.55,0.0
20190103:0007,0.0,0.0,0.0,20.5,2.55,0.0
20190103:0107,0.0,0.0,0.0,20.16,2.62,0.0
20190103:0207,0.0,0.0,0.0,19.68,2.34,0.0
20190103:0307,0.0,0.0,0.0,19.24,2.21,0.0
20190103:0407,0.0,0.0,0.0,18.84,2.14,0.0
20190103:0507,202.88,273.66,14.61,19.31,2.07,0.0
20190103:0607,424.99,538.32,27.46,21.45,2.69,0.0
20190103:0707,594.25,760.95,39.36,23.2,2.97,0.0
20190103:0807,706.05,927.5,49.41,25.11,2.97,0.0
20190103:0907,763.41,1022.03,55.92,26.8,3.03,0.0
20190103:1007,766.95,1036.43,56.72,28.09,2.97,0.0
20190103:1107,720.94,970.31,51.47,28.93,2.97,0.0
20190103:1207,622.72,827.21,42.12,29.31,2.9,0.0
20190103:1307,470.51,616.47,30.58,29.18,2.9,0.0
20190103:1407,269.94,362.29,17.91,28.59,2.9,0.0
20190103:1507,36.68,71.81,4.63,27.45,2.34,0.0
20190103:1607,0.0,0.0,0.0,25.81,2.0,0.0
20190103:1707,0.0,0.0,0.0,24.72,1.93,0.0
20190103:1807,0.0,0.0,0.0,23.94,2.0,0.0
20190103:1907,0.0,0.0,0.0,23.34,2.07,0.0
20190103:2007,0.0,0.0,0.0,22.84,2.0,0.0
20190103:2107,0.0,0.0,0.0,22.27,2.07,0.0
20190103:2207,0.0,0.0,0.0,21.61,2.14,0.0
20190103:2307,0.0,0.0,0.0,20.96,2.34,0.0
20190104:0007,0.0,0.0,0.0,20.29,2.28,0.0
20190104:0107,0.0,0.0,0.0,19.52,2.14,0.0
20190104:0207,0.0,0.0,0.0,18.65,1.86,0.0
20190104:0307,0.0,0.0,0.0,18.06,1.45,0.0
20190104:0407,0.0,0.0,0.0,18.66,0.9,0.0
20190104:0507,208.45,284.47,14.54,19.77,0.28,0.0
20190104:0607,436.55,568.03,27.42,21.84,0.48,0.0
20190104:0707,597.7,790.12,39.34,24.2,1.17,0.0
20190104:0807,707.56,955.33,49.42,26.57,1.86,0.0
20190104:0907,763.99,1051.89,55.98,28.46,2.07,0.0
20190104:1007,767.09,1067.6,56.84,29.86,2.0,0.0
20190104:1107,725.74,1007.28,51.61,30.84,1.93,0.0
20190104:1207,630.08,861.79,42.26,31.32,1.79,0.0
20190104:1307,483.6,650.21,30.71,31.34,1.66,0.0
20190104:1407,284.79,389.08,18.04,30.92,1.59,0.0
20190104:1507,51.26,97.62,4.75,29.62,1.24,0.0
20190104:1607,0.0,0.0,0.0,27.31,1.1,0.0
20190104:1707,0.0,0.0,0.0,26.88,0.62,0.0
20190104:1807,0.0,0.0,0.0,24.16,1.38,0.0
20190104:1907,0.0,0.0,0.0,22.23,1.66,0.0
20190104:2007,0.0,0.0,0.0,20.99,1.86,0.0
20190104:2107,0.0,0.0,0.0,19.95,1.86,0.0
20190104:2207,0.0,0.0,0.0,19.25,1.72,0.0
20190104:2307,0.0,0.0,0.0,18.8,1.72,0.0
20190105:0007,0.0,0.0,0.0,18.64,1.72,0.0
20190105:0107,0.0,0.0,0.0,18.22,1.66,0.0
20190105:0207,0.0,0.0,0.0,17.63,1.72,0.0
20190105:0307,0.0,0.0,0.0,17.0,1.72,0.0
20190105:0407,0.0,0.0,0.0,16.56,1.72,0.0
20190105:0507,215.76,290.67,14.48,18.01,1.45,0.0
20190105:0607,420.67,546.07,27.37,23.13,1.03,0.0
20190105:0707,583.98,772.67,39.32,25.92,1.52,0.0
20190105:0807,688.38,937.0,49.45,27.72,1.59,0.0
20190105:0907,741.55,1033.55,56.06,29.0,1.45,0.0
20190105:1007,742.45,1049.1,56.96,29.98,1.17,0.0
20190105:1107,695.28,983.15,51.76,30.65,0.83,0.0
20190105:1207,602.99,840.33,42.4,30.97,0.55,0.0
20190105:1307,460.29,629.02,30.85,30.94,0.28,0.0
20190105:1407,271.81,373.92,18.17,30.56,0.48,0.0
20190105:1507,44.2,84.61,4.88,29.5,1.1,0.0
20190105:1607,0.0,0.0,0.0,27.22,1.45,0.0
20190105:1707,0.0,0.0,0.0,25.1,1.38,0.0
20190105:1807,0.0,0.0,0.0,23.3,1.59,0.0
20190105:1907,0.0,0.0,0.0,22.38,1.31,0.0
20190105:2007,0.0,0.0,0.0,20.81,1.45,0.0
20190105:2107,0.0,0.0,0.0,19.47,1.52,0.0
20190105:2207,0.0,0.0,0.0,18.33,1.52,0.0
20190105:2307,0.0,0.0,0.0,17.59,1.45,0.0
20190106:0007,0.0,0.0,0.0,17.03,1.52,0.0
20190106:0107,0.0,0.0,0.0,16.52,1.59,0.0
20190106:0207,0.0,0.0,0.0,16.0,1.59,0.0
20190106:0307,0.0,0.0,0.0,15.51,1.59,0.0
20190106:0407,0.0,0.0,0.0,14.91,1.59,0.0
20190106:0507,195.83,261.64,14.42,15.99,1.1,0.0
20190106:0607,406.75,529.6,27.33,22.44,0.48,0.0
20190106:0707,568.1,760.27,39.31,25.54,0.69,0.0
20190106:0807,667.96,922.28,49.47,27.42,0.76,0.0
20190106:0907,724.31,1024.11,56.14,28.79,0.76,0.0
20190106:1007,730.79,1053.63,57.1,29.79,0.41,0.0
