Latitude (decimal degrees):	21.368
Longitude (decimal degrees):	30.941
Elevation (m):	179
Radiation database:	PVGIS-SARAH2


Slope: 23 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0008,0.0,0.0,0.0,11.07,2.9,0.0
20190101:0108,0.0,0.0,0.0,10.36,2.97,0.0
20190101:0208,0.0,0.0,0.0,9.62,3.1,0.0
20190101:0308,0.0,0.0,0.0,8.93,3.1,0.0
20190101:0408,0.0,0.0,0.0,8.26,3.1,0.0
20190101:0508,109.72,153.83,6.36,7.62,2.83,0.0
20190101:0608,377.85,455.36,18.31,9.32,2.28,0.0
20190101:0708,528.08,639.78,29.1,13.25,3.03,0.0
20190101:0808,605.99,744.9,38.0,15.8,3.66,0.0
20190101:0908,690.13,863.18,43.9,18.08,4.07,0.0
20190101:1008,585.58,732.06,45.57,19.75,4.28,0.0
20190101:1108,436.11,544.71,42.57,20.63,4.21,0.0
20190101:1208,137.98,184.78,35.66,21.19,4.07,0.0
20190101:1308,151.71,200.93,26.11,21.23,4.0,0.0
20190101:1408,88.94,125.84,14.92,20.81,4.14,0.0
20190101:1508,0.0,2.9,2.73,20.15,4.28,0.0
20190101:1608,0.0,0.0,0.0,19.03,3.86,0.0
20190101:1708,0.0,0.0,0.0,17.84,3.86,0.0
20190101:1808,0.0,0.0,0.0,16.94,4.0,0.0
20190101:1908,0.0,0.0,0.0,16.22,4.07,0.0
20190101:2008,0.0,0.0,0.0,15.16,3.59,0.0
20190101:2108,0.0,0.0,0.0,14.13,3.17,0.0
20190101:2208,0.0,0.0,0.0,13.0,3.03,0.0
20190101:2308,0.0,0.0,0.0,11.97,2.97,0.0
20190102:0008,0.0,0.0,0.0,11.07,2.9,0.0
20190102:0108,0.0,0.0,0.0,10.24,2.97,0.0
20190102:0208,0.0,0.0,0.0,9.51,3.1,0.0
20190102:0308,0.0,0.0,0.0,8.78,3.1,0.0
20190102:0408,0.0,0.0,0.0,8.04,3.03,0.0
20190102:0508,106.48,149.87,6.31,7.37,2.9,0.0
20190102:0608,354.57,426.79,18.27,9.25,2.48,0.0
20190102:0708,479.08,578.21,29.09,13.17,3.24,0.0
20190102:0808,689.67,849.45,38.02,15.95,4.21,0.0
20190102:0908,785.79,984.1,43.95,18.22,4.9,0.0
20190102:1008,824.28,1040.39,45.66,19.75,5.38,0.0
20190102:1108,770.9,969.93,42.69,20.73,5.59,0.0
20190102:1208,672.64,839.22,35.79,21.28,5.66,0.0
20190102:1308,510.99,633.12,26.25,21.38,5.79,0.0
20190102:1408,290.14,371.45,15.06,21.0,6.0,0.0
20190102:1508,1.61,9.67,2.86,20.07,5.66,0.0
20190102:1608,0.0,0.0,0.0,18.71,4.48,0.0
20190102:1708,0.0,0.0,0.0,17.5,4.14,0.0
20190102:1808,0.0,0.0,0.0,16.3,3.86,0.0
20190102:1908,0.0,0.0,0.0,15.08,3.31,0.0
20190102:2008,0.0,0.0,0.0,13.87,3.1,0.0
20190102:2108,0.0,0.0,0.0,12.65,2.97,0.0
20190102:2208,0.0,0.0,0.0,11.48,2.97,0.0
20190102:2308,0.0,0.0,0.0,10.48,3.1,0.0
20190103:0008,0.0,0.0,0.0,9.65,3.31,0.0
20190103:0108,0.0,0.0,0.0,8.94,3.38,0.0
20190103:0208,0.0,0.0,0.0,8.29,3.38,0.0
20190103:0308,0.0,0.0,0.0,7.67,3.31,0.0
20190103:0408,0.0,0.0,0.0,7.08,3.45,0.0
20190103:0508,90.88,129.37,6.26,6.71,3.66,0.0
20190103:0608,374.53,446.81,18.24,8.72,3.66,0.0
20190103:0708,586.34,698.42,29.08,12.33,5.17,0.0
20190103:0808,725.1,876.81,38.04,14.9,6.28,0.0
20190103:0908,814.8,1001.0,44.01,16.99,6.83,0.0
20190103:1008,841.18,1043.9,45.76,18.42,6.83,0.0
20190103:1108,788.4,981.16,42.81,19.4,6.34,0.0
20190103:1208,681.76,843.96,35.93,19.99,6.0,0.0
20190103:1308,521.25,642.35,26.38,20.27,5.86,0.0
20190103:1408,270.71,345.62,15.19,20.06,5.79,0.0
20190103:1508,2.57,11.61,2.99,19.34,5.24,0.0
20190103:1608,0.0,0.0,0.0,17.88,4.41,0.0
20190103:1708,0.0,0.0,0.0,16.64,4.48,0.0
20190103:1808,0.0,0.0,0.0,15.5,4.41,0.0
20190103:1908,0.0,0.0,0.0,14.57,4.34,0.0
20190103:2008,0.0,0.0,0.0,13.61,4.14,0.0
20190103:2108,0.0,0.0,0.0,12.63,4.07,0.0
20190103:2208,0.0,0.0,0.0,11.72,4.0,0.0
20190103:2308,0.0,0.0,0.0,10.86,4.0,0.0
20190104:0008,0.0,0.0,0.0,10.09,4.07,0.0
20190104:0108,0.0,0.0,0.0,9.38,4.07,0.0
20190104:0208,0.0,0.0,0.0,8.73,4.07,0.0
20190104:0308,0.0,0.0,0.0,8.15,4.07,0.0
20190104:0408,0.0,0.0,0.0,7.59,4.0,0.0
20190104:0508,72.09,105.7,6.22,7.21,4.0,0.0
20190104:0608,357.96,428.14,18.21,8.99,3.52,0.0
20190104:0708,576.83,690.68,29.07,12.69,4.55,0.0
20190104:0808,702.86,860.77,38.07,15.65,4.83,0.0
20190104:0908,774.67,970.48,44.08,18.28,4.83,0.0
20190104:1008,776.04,984.33,45.87,20.44,4.83,0.0
20190104:1108,743.48,945.35,42.94,22.07,4.97,0.0
20190104:1208,611.37,769.89,36.07,23.04,5.17,0.0
20190104:1308,488.52,612.91,26.53,23.35,5.17,0.0
20190104:1408,275.42,357.01,15.33,23.13,5.1,0.0
20190104:1508,5.91,18.61,3.13,22.24,4.69,0.0
20190104:1608,0.0,0.0,0.0,20.49,4.28,0.0
20190104:1708,0.0,0.0,0.0,19.07,4.41,0.0
20190104:1808,0.0,0.0,0.0,17.86,4.48,0.0
20190104:1908,0.0,0.0,0.0,17.03,4.28,0.0
20190104:2008,0.0,0.0,0.0,16.04,4.14,0.0
20190104:2108,0.0,0.0,0.0,15.03,4.0,0.0
20190104:2208,0.0,0.0,0.0,14.1,3.93,0.0
20190104:2308,0.0,0.0,0.0,13.25,3.93,0.0
20190105:0008,0.0,0.0,0.0,12.52,4.21,0.0
20190105:0108,0.0,0.0,0.0,11.93,4.34,0.0
20190105:0208,0.0,0.0,0.0,11.31,4.07,0.0
20190105:0308,0.0,0.0,0.0,10.69,3.93,0.0
20190105:0408,0.0,0.0,0.0,10.19,3.59,0.0
20190105:0508,42.15,67.84,6.17,9.7,3.31,0.0
20190105:0608,265.83,324.23,18.19,10.94,3.03,0.0
20190105:0708,387.95,466.76,29.07,13.47,4.21,0.0
20190105:0808,600.37,731.62,38.1,15.94,4.76,0.0
20190105:0908,536.55,659.35,44.15,18.02,5.1,0.0
20190105:1008,675.12,840.85,45.98,19.82,5.59,0.0
20190105:1108,691.3,864.41,43.08,21.17,5.93,0.0
20190105:1208,562.07,698.33,36.22,22.0,6.14,0.0
20190105:1308,531.35,658.96,26.67,22.25,6.41,0.0
20190105:1408,213.56,277.56,15.47,21.94,6.28,0.0
20190105:1508,32.57,65.3,3.26,21.12,5.24,0.0
20190105:1608,0.0,0.0,0.0,19.75,4.69,0.0
20190105:1708,0.0,0.0,0.0,18.59,4.69,0.0
20190105:1808,0.0,0.0,0.0,17.41,4.83,0.0
20190105:1908,0.0,0.0,0.0,16.31,5.1,0.0
20190105:2008,0.0,0.0,0.0,15.32,5.31,0.0
20190105:2108,0.0,0.0,0.0,14.36,4.83,0.0
20190105:2208,0.0,0.0,0.0,13.61,4.55,0.0
20190105:2308,0.0,0.0,0.0,12.8,4.76,0.0
20190106:0008,0.0,0.0,0.0,12.11,4.83,0.0
20190106:0108,0.0,0.0,0.0,11.57,5.1,0.0
20190106:0208,0.0,0.0,0.0,11.16,5.66,0.0
20190106:0308,0.0,0.0,0.0,10.8,5.66,0.0
20190106:0408,0.0,0.0,0.0,10.37,5.38,0.0
20190106:0508,29.12,50.18,6.14,10.03,5.45,0.0
20190106:0608,325.02,390.66,18.17,11.13,5.52,0.0
20190106:0708,582.97,689.64,29.08,13.05,7.17,0.0
20190106:0808,745.87,892.5,38.14,15.02,8.34,0.0
20190106:0908,765.13,923.59,44.24,16.48,8.97,0.0
20190106:1008,725.63,878.82,46.1,17.46,9.17,0.0
20190106:1108,731.68,888.31,43.22,18.06,8.97,0.0
20190106:1208,615.49,744.77,36.37,18.38,8.48,0.0
20190106:1308,531.24,642.71,26.82,18.44,8.14,0.0
20190106:1408,263.99,332.18,15.62,17.96,7.93,0.0
20190106:1508,26.09,53.19,3.4,16.96,7.45,0.0
20190106:1608,0.0,0.0,0.0,15.86,6.48,0.0
20190106:1708,0.0,0.0,0.0,14.89,6.21,0.0
20190106:1808,0.0,0.0,0.0,13.99,6.21,0.0
20190106:1908,0.0,0.0,0.0,12.91,6.07,0.0
20190106:2008,0.0,0.0,0.0,12.11,5.86,0.0
20190106:2108,0.0,0.0,0.0,11.38,5.59,0.0
20190106:2208,0.0,0.0,0.0,10.73,5.38,0.0
20190106:2308,0.0,0.0,0.0,10.12,5.24,0.0
20190107:0008,0.0,0.0,0.0,9.49,5.17,0.0
20190107:0108,0.0,0.0,0.0,9.0,5.17,0.0
20190107:0208,0.0,0.0,0.0,8.35,5.03,0.0
20190107:0308,0.0,0.0,0.0,7.78,4.9,0.0
20190107:0408,0.0,0.0,0.0,7.24,4.76,0.0
20190107:0508,96.32,136.94,6.11,6.8,4.69,0.0
20190107:0608,399.43,473.1,18.16,8.13,4.76,0.0
20190107:0708,604.75,710.39,29.1,10.69,6.48,0.0
20190107:0808,751.15,892.91,38.19,12.7,7.66,0.0
20190107:0908,840.43,1013.31,44.32,14.31,8.0,0.0
20190107:1008,704.62,850.46,46.23,15.59,7.86,0.0
20190107:1108,812.73,991.32,43.37,16.61,7.59,0.0
20190107:1208,701.0,850.18,36.53,17.23,7.45,0.0
20190107:1308,530.38,640.8,26.98,17.41,7.31,0.0
20190107:1408,312.73,390.13,15.76,17.11,7.1,0.0
20190107:1508,31.83,61.68,3.54,16.31,6.62,0.0
20190107:1608,0.0,0.0,0.0,15.04,5.45,0.0
20190107:1708,0.0,0.0,0.0,13.96,5.17,0.0
20190107:1808,0.0,0.0,0.0,12.9,5.03,0.0
20190107:1908,0.0,0.0,0.0,11.95,5.03,0.0
20190107:2008,0.0,0.0,0.0,10.92,4.83,0.0
20190107:2108,0.0,0.0,0.0,9.99,4.69,0.0
20190107:2208,0.0,0.0,0.0,9.12,4.55,0.0
20190107:2308,0.0,0.0,0.0,8.33,4.41,0.0
20190108:0008,0.0,0.0,0.0,7.56,4.28,0.0
20190108:0108,0.0,0.0,0.0,6.82,4.07,0.0
20190108:0208,0.0,0.0,0.0,6.13,4.07,0.0
20190108:0308,0.0,0.0,0.0,5.55,4.21,0.0
20190108:0408,0.0,0.0,0.0,5.1,4.41,0.0
20190108:0508,110.83,154.68,6.08,4.86,4.34,0.0
20190108:0608,402.6,475.4,18.15,6.65,3.93,0.0
20190108:0708,592.51,698.11,29.11,10.03,5.24,0.0
20190108:0808,758.58,910.48,38.24,12.69,6.07,0.0
20190108:0908,847.89,1034.14,44.42,14.85,6.69,0.0
20190108:1008,859.77,1059.41,46.36,16.46,6.69,0.0
20190108:1108,809.34,999.0,43.53,17.67,6.55,0.0
20190108:1208,700.43,858.12,36.69,18.44,6.69,0.0
20190108:1308,536.58,653.03,27.13,18.7,7.03,0.0
20190108:1408,293.44,368.54,15.91,18.36,7.17,0.0
20190108:1508,34.02,65.1,3.68,17.53,6.62,0.0
20190108:1608,0.0,0.0,0.0,16.26,5.31,0.0
20190108:1708,0.0,0.0,0.0,15.23,5.1,0.0
20190108:1808,0.0,0.0,0.0,14.18,4.9,0.0
20190108:1908,0.0,0.0,0.0,13.26,4.69,0.0
20190108:2008,0.0,0.0,0.0,12.27,4.62,0.0
20190108:2108,0.0,0.0,0.0,11.42,4.76,0.0
20190108:2208,0.0,0.0,0.0,10.74,4.83,0.0
20190108:2308,0.0,0.0,0.0,10.17,4.83,0.0
20190109:0008,0.0,0.0,0.0,9.6,4.76,0.0
