Latitude (decimal degrees):	19.171
Longitude (decimal degrees):	30.492
Elevation (m):	222
Radiation database:	PVGIS-SARAH2


Slope: 22 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0008,0.0,0.0,0.0,13.16,3.93,0.0
20190101:0108,0.0,0.0,0.0,12.44,4.0,0.0
20190101:0208,0.0,0.0,0.0,11.71,4.07,0.0
20190101:0308,0.0,0.0,0.0,11.06,4.14,0.0
20190101:0408,0.0,0.0,0.0,10.43,4.07,0.0
20190101:0508,111.57,157.07,6.96,10.0,3.72,0.0
20190101:0608,382.09,461.99,19.16,11.71,3.66,0.0
20190101:0708,562.24,678.37,30.27,14.62,4.76,0.0
20190101:0808,682.44,839.96,39.57,17.39,5.17,0.0
20190101:0908,805.01,1014.53,45.86,19.9,5.38,0.0
20190101:1008,808.49,1031.53,47.79,21.83,5.31,0.0
20190101:1108,778.27,997.08,44.79,23.03,5.03,0.0
20190101:1208,685.83,872.33,37.7,23.89,5.03,0.0
20190101:1308,504.24,635.91,27.91,24.26,5.1,0.0
20190101:1408,307.04,397.98,16.5,24.06,5.17,0.0
20190101:1508,34.33,66.59,4.13,23.34,4.97,0.0
20190101:1608,0.0,0.0,0.0,22.08,4.14,0.0
20190101:1708,0.0,0.0,0.0,21.04,4.34,0.0
20190101:1808,0.0,0.0,0.0,19.96,4.83,0.0
20190101:1908,0.0,0.0,0.0,18.77,5.1,0.0
20190101:2008,0.0,0.0,0.0,17.64,4.97,0.0
20190101:2108,0.0,0.0,0.0,16.62,4.9,0.0
20190101:2208,0.0,0.0,0.0,15.67,4.69,0.0
20190101:2308,0.0,0.0,0.0,14.67,4.48,0.0
20190102:0008,0.0,0.0,0.0,13.82,4.34,0.0
20190102:0108,0.0,0.0,0.0,13.0,4.21,0.0
20190102:0208,0.0,0.0,0.0,12.28,4.07,0.0
20190102:0308,0.0,0.0,0.0,11.53,3.93,0.0
20190102:0408,0.0,0.0,0.0,10.75,3.72,0.0
20190102:0508,108.38,153.42,6.9,10.12,3.66,0.0
20190102:0608,371.79,450.05,19.12,11.8,3.59,0.0
20190102:0708,586.44,711.62,30.25,14.85,4.21,0.0
20190102:0808,724.6,897.18,39.58,17.53,4.83,0.0
20190102:0908,803.38,1009.74,45.91,19.79,5.59,0.0
20190102:1008,831.39,1054.2,47.88,21.51,6.0,0.0
20190102:1108,784.38,993.5,44.9,22.7,6.21,0.0
20190102:1208,692.64,869.9,37.83,23.46,6.55,0.0
20190102:1308,523.19,653.0,28.05,23.72,6.69,0.0
20190102:1408,298.57,384.43,16.64,23.5,6.62,0.0
20190102:1508,40.74,76.25,4.25,22.76,6.28,0.0
20190102:1608,0.0,0.0,0.0,21.4,5.03,0.0
20190102:1708,0.0,0.0,0.0,20.21,4.97,0.0
20190102:1808,0.0,0.0,0.0,19.08,5.24,0.0
20190102:1908,0.0,0.0,0.0,17.97,5.59,0.0
20190102:2008,0.0,0.0,0.0,16.91,5.72,0.0
20190102:2108,0.0,0.0,0.0,15.92,5.59,0.0
20190102:2208,0.0,0.0,0.0,14.93,5.31,0.0
20190102:2308,0.0,0.0,0.0,13.99,4.97,0.0
20190103:0008,0.0,0.0,0.0,13.03,4.83,0.0
20190103:0108,0.0,0.0,0.0,12.13,4.69,0.0
