Latitude (decimal degrees):	11.798
Longitude (decimal degrees):	34.390
Elevation (m):	483
Radiation database:	PVGIS-SARAH2


Slope: 18 deg. (optimum)
Azimuth: 12 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,25.75,3.31,0.0
20190101:0107,0.0,0.0,0.0,25.09,3.03,0.0
20190101:0207,0.0,0.0,0.0,24.59,2.9,0.0
20190101:0307,0.0,0.0,0.0,24.15,2.83,0.0
20190101:0407,0.0,0.0,0.0,23.72,2.62,0.0
20190101:0507,161.99,232.25,13.52,24.35,2.21,0.0
20190101:0607,381.94,499.01,26.21,26.67,2.62,0.0
20190101:0707,563.27,741.87,37.88,28.45,2.69,0.0
20190101:0807,674.98,908.15,47.66,29.72,2.76,0.0
20190101:0907,743.86,1020.53,53.94,30.89,2.76,0.0
20190101:1007,756.77,1047.89,54.8,31.99,2.76,0.0
20190101:1107,712.64,985.48,49.88,33.08,2.69,0.0
20190101:1207,621.8,851.31,40.9,33.9,2.55,0.0
20190101:1307,479.09,647.71,29.65,34.38,2.41,0.0
20190101:1407,279.97,384.36,17.19,34.38,2.34,0.0
20190101:1507,41.5,79.62,4.06,34.16,2.07,0.0
20190101:1607,0.0,0.0,0.0,31.94,2.41,0.0
20190101:1707,0.0,0.0,0.0,31.07,2.69,0.0
20190101:1807,0.0,0.0,0.0,30.52,2.97,0.0
20190101:1907,0.0,0.0,0.0,30.01,3.38,0.0
20190101:2007,0.0,0.0,0.0,29.42,3.79,0.0
20190101:2107,0.0,0.0,0.0,28.82,4.41,0.0
20190101:2207,0.0,0.0,0.0,28.27,4.9,0.0
20190101:2307,0.0,0.0,0.0,27.69,4.76,0.0
20190102:0007,0.0,0.0,0.0,27.07,4.07,0.0
20190102:0107,0.0,0.0,0.0,26.38,3.31,0.0
20190102:0207,0.0,0.0,0.0,25.66,2.69,0.0
20190102:0307,0.0,0.0,0.0,24.97,2.34,0.0
20190102:0407,0.0,0.0,0.0,24.37,2.07,0.0
20190102:0507,161.1,232.49,13.45,24.93,1.66,0.0
20190102:0607,353.51,464.9,26.16,27.61,2.34,0.0
20190102:0707,547.81,721.79,37.85,29.15,2.9,0.0
20190102:0807,663.71,890.64,47.66,30.3,3.1,0.0
20190102:0907,737.34,1009.25,53.99,31.39,3.03,0.0
20190102:1007,749.95,1036.15,54.9,32.35,2.97,0.0
20190102:1107,706.68,974.43,50.01,33.27,2.9,0.0
20190102:1207,625.09,852.96,41.04,33.9,2.83,0.0
20190102:1307,486.22,654.6,29.78,34.16,2.76,0.0
20190102:1407,283.43,386.53,17.32,33.84,2.97,0.0
20190102:1507,44.16,83.12,4.18,33.25,2.97,0.0
20190102:1607,0.0,0.0,0.0,32.12,3.38,0.0
20190102:1707,0.0,0.0,0.0,31.46,4.07,0.0
20190102:1807,0.0,0.0,0.0,30.86,4.55,0.0
20190102:1907,0.0,0.0,0.0,30.25,4.76,0.0
20190102:2007,0.0,0.0,0.0,29.65,5.03,0.0
20190102:2107,0.0,0.0,0.0,29.05,5.45,0.0
20190102:2207,0.0,0.0,0.0,28.34,5.45,0.0
20190102:2307,0.0,0.0,0.0,27.6,5.03,0.0
20190103:0007,0.0,0.0,0.0,26.9,4.55,0.0
20190103:0107,0.0,0.0,0.0,26.3,4.21,0.0
20190103:0207,0.0,0.0,0.0,25.6,3.72,0.0
20190103:0307,0.0,0.0,0.0,24.97,3.52,0.0
20190103:0407,0.0,0.0,0.0,24.5,3.45,0.0
20190103:0507,162.95,234.34,13.38,24.86,3.17,0.0
20190103:0607,387.29,499.72,26.11,26.32,4.55,0.0
20190103:0707,570.83,734.15,37.83,27.83,5.17,0.0
20190103:0807,700.69,917.98,47.67,29.45,5.31,0.0
20190103:0907,773.12,1032.65,54.05,30.98,5.17,0.0
20190103:1007,777.61,1048.11,55.01,32.22,5.1,0.0
20190103:1107,737.65,993.63,50.14,33.21,5.1,0.0
20190103:1207,648.85,865.82,41.17,33.9,5.24,0.0
20190103:1307,503.3,665.6,29.92,34.24,5.31,0.0
20190103:1407,295.36,399.24,17.45,34.17,5.24,0.0
20190103:1507,46.63,86.52,4.3,33.09,4.0,0.0
20190103:1607,0.0,0.0,0.0,31.4,3.31,0.0
20190103:1707,0.0,0.0,0.0,30.57,3.59,0.0
20190103:1807,0.0,0.0,0.0,29.94,4.0,0.0
20190103:1907,0.0,0.0,0.0,29.36,4.0,0.0
20190103:2007,0.0,0.0,0.0,28.8,4.34,0.0
20190103:2107,0.0,0.0,0.0,28.35,4.48,0.0
20190103:2207,0.0,0.0,0.0,27.68,4.28,0.0
20190103:2307,0.0,0.0,0.0,27.11,4.07,0.0
20190104:0007,0.0,0.0,0.0,26.59,3.93,0.0
20190104:0107,0.0,0.0,0.0,26.06,3.79,0.0
20190104:0207,0.0,0.0,0.0,25.47,3.45,0.0
20190104:0307,0.0,0.0,0.0,24.82,2.97,0.0
20190104:0407,0.0,0.0,0.0,24.17,2.62,0.0
20190104:0507,140.28,202.21,13.32,24.61,2.21,0.0
20190104:0607,360.58,468.46,26.07,26.39,3.38,0.0
20190104:0707,554.79,724.42,37.81,28.08,3.31,0.0
20190104:0807,675.5,906.96,47.69,29.45,2.83,0.0
20190104:0907,743.76,1026.72,54.12,30.65,2.34,0.0
20190104:1007,738.6,1043.01,55.12,32.8,1.86,0.0
20190104:1107,693.07,995.17,50.28,35.58,1.38,0.0
20190104:1207,604.95,867.36,41.32,36.83,0.83,0.0
20190104:1307,467.98,658.24,30.06,37.31,0.62,0.0
20190104:1407,283.57,398.11,17.58,37.33,1.1,0.0
20190104:1507,45.68,86.32,4.42,36.74,1.45,0.0
20190104:1607,0.0,0.0,0.0,33.36,2.07,0.0
20190104:1707,0.0,0.0,0.0,31.64,2.41,0.0
20190104:1807,0.0,0.0,0.0,31.04,2.69,0.0
20190104:1907,0.0,0.0,0.0,30.59,2.97,0.0
20190104:2007,0.0,0.0,0.0,30.16,3.24,0.0
20190104:2107,0.0,0.0,0.0,29.74,3.79,0.0
20190104:2207,0.0,0.0,0.0,29.31,4.28,0.0
20190104:2307,0.0,0.0,0.0,28.65,3.93,0.0
20190105:0007,0.0,0.0,0.0,27.8,3.66,0.0
20190105:0107,0.0,0.0,0.0,26.94,3.24,0.0
20190105:0207,0.0,0.0,0.0,26.07,2.76,0.0
20190105:0307,0.0,0.0,0.0,25.24,2.41,0.0
20190105:0407,0.0,0.0,0.0,24.5,2.21,0.0
20190105:0507,173.43,251.47,13.26,24.82,1.79,0.0
20190105:0607,393.06,513.77,26.03,26.88,2.9,0.0
20190105:0707,574.52,758.4,37.8,28.34,2.62,0.0
20190105:0807,687.54,942.51,47.72,29.41,1.72,0.0
20190105:0907,728.05,1054.21,54.2,32.86,0.83,0.0
