Latitude (decimal degrees):	9.860
Longitude (decimal degrees):	37.670
Elevation (m):	952
Radiation database:	PVGIS-SARAH2


Slope: 13 deg. (optimum)
Azimuth: 26 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,19.68,0.83,0.0
20190101:0107,0.0,0.0,0.0,18.8,0.9,0.0
20190101:0207,0.0,0.0,0.0,18.15,0.9,0.0
20190101:0307,0.0,0.0,0.0,17.58,0.9,0.0
20190101:0407,9.74,23.54,3.93,17.1,0.9,0.0
20190101:0507,54.4,82.39,17.22,17.17,0.62,0.0
20190101:0607,82.15,117.69,29.92,20.24,0.83,0.0
20190101:0707,577.95,762.09,41.53,22.96,0.83,0.0
20190101:0807,677.22,923.91,51.02,25.15,0.76,0.0
20190101:0907,726.37,1017.1,56.54,26.88,0.69,0.0
20190101:1007,732.2,1035.67,56.07,28.21,0.69,0.0
20190101:1107,696.05,977.35,49.83,29.11,0.76,0.0
20190101:1207,599.63,822.06,39.93,29.55,0.9,0.0
20190101:1307,459.06,616.23,28.12,29.48,0.9,0.0
20190101:1407,53.5,85.33,15.31,28.92,0.76,0.0
20190101:1507,0.0,0.0,0.0,28.08,0.55,0.0
20190101:1607,0.0,0.0,0.0,27.19,0.48,0.0
20190101:1707,0.0,0.0,0.0,26.44,0.41,0.0
20190101:1807,0.0,0.0,0.0,25.5,0.21,0.0
20190101:1907,0.0,0.0,0.0,24.29,0.07,0.0
20190101:2007,0.0,0.0,0.0,23.24,0.14,0.0
20190101:2107,0.0,0.0,0.0,22.21,0.21,0.0
20190101:2207,0.0,0.0,0.0,21.2,0.34,0.0
20190101:2307,0.0,0.0,0.0,20.12,0.48,0.0
20190102:0007,0.0,0.0,0.0,19.07,0.48,0.0
20190102:0107,0.0,0.0,0.0,18.07,0.55,0.0
20190102:0207,0.0,0.0,0.0,17.16,0.55,0.0
20190102:0307,0.0,0.0,0.0,16.36,0.62,0.0
20190102:0407,9.82,23.54,3.85,15.71,0.62,0.0
20190102:0507,53.13,80.42,17.15,15.9,0.48,0.0
20190102:0607,76.75,110.83,29.87,19.59,0.62,0.0
20190102:0707,551.31,731.61,41.5,23.42,0.41,0.0
20190102:0807,650.06,898.43,51.03,25.88,0.21,0.0
20190102:0907,691.88,983.83,56.6,27.58,0.07,0.0
20190102:1007,701.12,1001.24,56.18,28.59,0.21,0.0
20190102:1107,665.02,938.27,49.96,29.21,0.34,0.0
20190102:1207,570.8,787.82,40.06,29.57,0.34,0.0
20190102:1307,433.52,583.86,28.25,29.3,0.41,0.0
20190102:1407,53.46,85.33,15.43,28.91,0.34,0.0
20190102:1507,0.0,0.0,0.0,28.09,0.41,0.0
20190102:1607,0.0,0.0,0.0,27.23,0.69,0.0
20190102:1707,0.0,0.0,0.0,26.53,0.62,0.0
20190102:1807,0.0,0.0,0.0,25.86,0.34,0.0
20190102:1907,0.0,0.0,0.0,25.07,0.14,0.0
20190102:2007,0.0,0.0,0.0,24.14,0.14,0.0
20190102:2107,0.0,0.0,0.0,23.3,0.14,0.0
20190102:2207,0.0,0.0,0.0,22.48,0.07,0.0
20190102:2307,0.0,0.0,0.0,21.46,0.28,0.0
20190103:0007,0.0,0.0,0.0,20.3,0.34,0.0
20190103:0107,0.0,0.0,0.0,19.27,0.41,0.0
20190103:0207,0.0,0.0,0.0,18.4,0.41,0.0
20190103:0307,0.0,0.0,0.0,17.66,0.48,0.0
20190103:0407,9.74,23.54,3.77,17.02,0.48,0.0
20190103:0507,58.41,87.29,17.09,16.96,0.41,0.0
20190103:0607,84.43,120.64,29.82,20.37,0.55,0.0
20190103:0707,548.41,729.18,41.48,23.92,0.41,0.0
20190103:0807,647.67,891.4,51.05,26.33,0.41,0.0
20190103:0907,696.62,982.58,56.67,28.06,0.41,0.0
20190103:1007,710.73,1007.43,56.3,29.3,0.62,0.0
20190103:1107,670.84,939.39,50.09,30.09,0.83,0.0
20190103:1207,583.72,799.52,40.2,30.34,0.97,0.0
20190103:1307,444.76,597.72,28.38,30.16,0.9,0.0
20190103:1407,51.78,83.37,15.56,29.69,0.62,0.0
20190103:1507,0.0,0.0,0.0,29.02,0.21,0.0
20190103:1607,0.0,0.0,0.0,28.46,0.34,0.0
20190103:1707,0.0,0.0,0.0,27.81,0.41,0.0
20190103:1807,0.0,0.0,0.0,26.91,0.14,0.0
20190103:1907,0.0,0.0,0.0,25.46,0.14,0.0
20190103:2007,0.0,0.0,0.0,24.41,0.41,0.0
20190103:2107,0.0,0.0,0.0,23.34,0.55,0.0
20190103:2207,0.0,0.0,0.0,22.25,0.76,0.0
20190103:2307,0.0,0.0,0.0,21.3,0.83,0.0
20190104:0007,0.0,0.0,0.0,20.45,0.9,0.0
20190104:0107,0.0,0.0,0.0,19.46,0.97,0.0
20190104:0207,0.0,0.0,0.0,18.54,1.03,0.0
20190104:0307,0.0,0.0,0.0,17.52,1.1,0.0
20190104:0407,7.25,19.62,3.7,16.62,1.1,0.0
20190104:0507,47.51,73.56,17.02,16.35,0.9,0.0
20190104:0607,72.63,105.92,29.78,20.16,1.1,0.0
20190104:0707,570.31,743.7,41.46,23.0,1.38,0.0
20190104:0807,683.01,909.58,51.07,25.3,1.93,0.0
20190104:0907,737.74,998.67,56.75,27.23,2.28,0.0
20190104:1007,746.58,1017.66,56.42,28.75,2.48,0.0
20190104:1107,703.73,955.38,50.23,29.77,2.55,0.0
20190104:1207,604.29,809.39,40.34,30.2,2.48,0.0
20190104:1307,458.29,607.24,28.51,30.22,2.21,0.0
20190104:1407,55.62,88.27,15.68,29.79,1.79,0.0
20190104:1507,0.0,0.0,0.0,28.92,1.1,0.0
20190104:1607,0.0,0.0,0.0,27.66,0.83,0.0
20190104:1707,0.0,0.0,0.0,27.09,0.9,0.0
20190104:1807,0.0,0.0,0.0,25.57,1.17,0.0
20190104:1907,0.0,0.0,0.0,25.36,0.97,0.0
20190104:2007,0.0,0.0,0.0,24.2,0.9,0.0
20190104:2107,0.0,0.0,0.0,22.79,0.76,0.0
20190104:2207,0.0,0.0,0.0,21.25,0.76,0.0
20190104:2307,0.0,0.0,0.0,19.79,0.76,0.0
20190105:0007,0.0,0.0,0.0,18.46,0.9,0.0
20190105:0107,0.0,0.0,0.0,17.38,0.83,0.0
