Latitude (decimal degrees):	9.590
Longitude (decimal degrees):	37.360
Elevation (m):	2383
Radiation database:	PVGIS-SARAH2


Slope: 15 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,13.21,1.38,0.0
20190101:0107,0.0,0.0,0.0,12.52,1.38,0.0
20190101:0207,0.0,0.0,0.0,12.01,1.38,0.0
20190101:0307,0.0,0.0,0.0,11.55,1.38,0.0
20190101:0407,17.91,39.21,3.76,11.11,1.38,0.0
20190101:0507,274.47,350.52,17.07,13.13,0.62,0.0
20190101:0607,484.66,615.24,29.81,16.74,0.48,0.0
20190101:0707,645.19,834.28,41.48,18.71,1.17,0.0
20190101:0807,748.79,985.18,51.08,20.4,1.79,0.0
20190101:0907,789.88,1053.65,56.74,21.63,1.93,0.0
20190101:1007,776.92,1038.87,56.41,22.73,2.0,0.0
20190101:1107,722.29,955.84,50.23,23.45,2.14,0.0
20190101:1207,610.38,792.56,40.34,23.74,2.28,0.0
20190101:1307,436.56,560.79,28.52,23.57,2.28,0.0
20190101:1407,215.16,292.0,15.71,22.88,2.28,0.0
20190101:1507,0.0,0.0,0.0,21.55,1.66,0.0
20190101:1607,0.0,0.0,0.0,19.83,1.17,0.0
20190101:1707,0.0,0.0,0.0,19.54,0.48,0.0
20190101:1807,0.0,0.0,0.0,18.86,0.76,0.0
20190101:1907,0.0,0.0,0.0,18.21,0.97,0.0
20190101:2007,0.0,0.0,0.0,15.79,1.38,0.0
20190101:2107,0.0,0.0,0.0,13.96,1.72,0.0
20190101:2207,0.0,0.0,0.0,12.52,1.79,0.0
20190101:2307,0.0,0.0,0.0,11.49,1.79,0.0
20190102:0007,0.0,0.0,0.0,10.9,1.79,0.0
20190102:0107,0.0,0.0,0.0,10.33,1.72,0.0
20190102:0207,0.0,0.0,0.0,9.9,1.72,0.0
20190102:0307,0.0,0.0,0.0,9.54,1.72,0.0
20190102:0407,21.14,44.97,3.68,9.26,1.72,0.0
20190102:0507,279.82,354.06,17.0,11.53,1.03,0.0
20190102:0607,475.61,607.2,29.76,16.98,0.14,0.0
20190102:0707,616.54,806.16,41.45,19.28,0.55,0.0
20190102:0807,716.86,954.3,51.09,20.88,1.1,0.0
20190102:0907,761.66,1027.24,56.81,22.1,1.31,0.0
20190102:1007,743.92,1000.9,56.52,22.83,1.45,0.0
20190102:1107,691.91,920.02,50.36,23.15,1.52,0.0
20190102:1207,591.24,772.34,40.47,23.5,1.59,0.0
20190102:1307,417.74,538.31,28.65,23.41,1.72,0.0
20190102:1407,214.71,292.16,15.83,23.12,1.93,0.0
20190102:1507,1.22,8.88,2.47,21.99,1.52,0.0
20190102:1607,0.0,0.0,0.0,20.46,0.83,0.0
20190102:1707,0.0,0.0,0.0,20.67,0.14,0.0
20190102:1807,0.0,0.0,0.0,18.19,0.97,0.0
20190102:1907,0.0,0.0,0.0,16.82,1.38,0.0
20190102:2007,0.0,0.0,0.0,15.05,1.66,0.0
20190102:2107,0.0,0.0,0.0,13.88,1.72,0.0
20190102:2207,0.0,0.0,0.0,12.91,1.66,0.0
20190102:2307,0.0,0.0,0.0,12.21,1.66,0.0
20190103:0007,0.0,0.0,0.0,11.64,1.66,0.0
20190103:0107,0.0,0.0,0.0,11.2,1.66,0.0
20190103:0207,0.0,0.0,0.0,10.85,1.59,0.0
20190103:0307,0.0,0.0,0.0,10.62,1.59,0.0
20190103:0407,18.81,41.41,3.6,10.56,1.52,0.0
20190103:0507,252.9,323.43,16.93,13.14,0.69,0.0
20190103:0607,468.84,595.52,29.71,17.26,0.48,0.0
20190103:0707,629.21,811.92,41.43,19.61,1.38,0.0
20190103:0807,726.81,955.66,51.11,21.3,1.86,0.0
20190103:0907,769.24,1024.41,56.87,22.59,2.07,0.0
20190103:1007,762.52,1017.1,56.63,23.59,2.21,0.0
20190103:1107,692.88,912.97,50.49,24.13,2.34,0.0
20190103:1207,583.53,755.82,40.61,24.21,2.41,0.0
20190103:1307,291.66,376.62,28.79,23.94,2.28,0.0
20190103:1407,31.88,55.28,15.96,23.34,2.07,0.0
20190103:1507,0.0,4.94,2.59,22.36,1.52,0.0
20190103:1607,0.0,0.0,0.0,21.06,1.1,0.0
20190103:1707,0.0,0.0,0.0,19.65,0.9,0.0
20190103:1807,0.0,0.0,0.0,19.0,0.9,0.0
20190103:1907,0.0,0.0,0.0,18.06,1.1,0.0
20190103:2007,0.0,0.0,0.0,17.52,1.1,0.0
20190103:2107,0.0,0.0,0.0,17.31,1.03,0.0
20190103:2207,0.0,0.0,0.0,17.19,0.97,0.0
20190103:2307,0.0,0.0,0.0,16.49,0.97,0.0
20190104:0007,0.0,0.0,0.0,15.55,0.97,0.0
20190104:0107,0.0,0.0,0.0,15.26,0.9,0.0
20190104:0207,0.0,0.0,0.0,14.85,0.83,0.0
20190104:0307,0.0,0.0,0.0,14.43,0.69,0.0
20190104:0407,28.36,60.53,3.52,13.91,0.55,0.0
20190104:0507,288.88,371.72,16.87,13.67,0.41,0.0
20190104:0607,495.24,621.8,29.66,16.21,1.1,0.0
20190104:0707,653.05,830.97,41.41,18.18,2.0,0.0
20190104:0807,755.96,977.49,51.13,19.92,2.69,0.0
20190104:0907,799.86,1047.1,56.95,21.38,2.97,0.0
20190104:1007,791.79,1040.74,56.76,22.55,3.03,0.0
20190104:1107,728.68,952.41,50.63,23.4,2.97,0.0
20190104:1207,609.59,785.97,40.75,23.85,2.9,0.0
20190104:1307,439.06,562.82,28.92,23.9,2.69,0.0
20190104:1407,225.59,305.85,16.09,23.48,2.34,0.0
20190104:1507,2.49,12.7,2.71,22.33,1.66,0.0
20190104:1607,0.0,0.0,0.0,20.9,1.24,0.0
20190104:1707,0.0,0.0,0.0,19.8,1.03,0.0
20190104:1807,0.0,0.0,0.0,17.51,1.66,0.0
20190104:1907,0.0,0.0,0.0,16.27,1.72,0.0
20190104:2007,0.0,0.0,0.0,15.96,1.45,0.0
20190104:2107,0.0,0.0,0.0,16.27,1.17,0.0
20190104:2207,0.0,0.0,0.0,16.62,0.97,0.0
20190104:2307,0.0,0.0,0.0,16.0,0.83,0.0
20190105:0007,0.0,0.0,0.0,15.23,0.76,0.0
20190105:0107,0.0,0.0,0.0,14.57,0.76,0.0
