Latitude (decimal degrees):	10.340
Longitude (decimal degrees):	36.650
Elevation (m):	778
Radiation database:	PVGIS-SARAH2


Slope: 16 deg. (optimum)
Azimuth: 7 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,21.31,0.76,0.0
20190101:0107,0.0,0.0,0.0,20.59,0.76,0.0
20190101:0207,0.0,0.0,0.0,20.09,0.83,0.0
20190101:0307,0.0,0.0,0.0,19.08,0.97,0.0
20190101:0407,4.74,15.53,2.83,17.66,1.03,0.0
20190101:0507,237.85,319.42,16.12,18.96,0.76,0.0
20190101:0607,448.88,586.14,28.83,23.57,0.9,0.0
20190101:0707,602.64,807.69,40.47,25.74,0.97,0.0
20190101:0807,701.17,966.57,50.08,27.71,1.17,0.0
20190101:0907,748.07,1056.37,55.87,29.29,1.1,0.0
20190101:1007,748.28,1064.3,55.83,30.42,1.1,0.0
20190101:1107,702.22,988.09,49.98,31.06,1.17,0.0
20190101:1207,607.44,836.34,40.34,31.35,1.24,0.0
20190101:1307,459.79,618.84,28.68,31.13,1.38,0.0
20190101:1407,256.04,352.44,15.96,30.37,1.45,0.0
20190101:1507,1.5,9.7,2.67,28.99,1.1,0.0
20190101:1607,0.0,0.0,0.0,26.61,1.03,0.0
20190101:1707,0.0,0.0,0.0,25.84,0.97,0.0
20190101:1807,0.0,0.0,0.0,25.81,0.69,0.0
20190101:1907,0.0,0.0,0.0,25.43,0.62,0.0
20190101:2007,0.0,0.0,0.0,24.54,0.48,0.0
20190101:2107,0.0,0.0,0.0,23.46,0.55,0.0
20190101:2207,0.0,0.0,0.0,22.59,0.62,0.0
20190101:2307,0.0,0.0,0.0,22.02,0.62,0.0
20190102:0007,0.0,0.0,0.0,21.42,0.69,0.0
20190102:0107,0.0,0.0,0.0,20.69,0.83,0.0
20190102:0207,0.0,0.0,0.0,19.75,0.97,0.0
20190102:0307,0.0,0.0,0.0,18.76,0.97,0.0
20190102:0407,4.74,15.53,2.75,17.67,0.97,0.0
20190102:0507,222.35,300.28,16.05,19.55,0.55,0.0
20190102:0607,420.5,551.76,28.78,23.52,0.34,0.0
20190102:0707,563.87,758.5,40.45,25.8,0.48,0.0
20190102:0807,670.78,928.75,50.09,27.55,0.69,0.0
20190102:0907,712.4,1003.29,55.93,29.01,0.83,0.0
20190102:1007,716.25,1010.43,55.94,30.07,1.03,0.0
20190102:1107,674.62,938.7,50.11,30.49,1.24,0.0
20190102:1207,583.68,792.13,40.48,30.65,1.59,0.0
20190102:1307,431.84,573.56,28.81,30.31,1.93,0.0
20190102:1407,233.22,319.02,16.09,29.67,2.14,0.0
20190102:1507,1.08,8.73,2.79,28.4,1.45,0.0
20190102:1607,0.0,0.0,0.0,26.45,1.1,0.0
20190102:1707,0.0,0.0,0.0,25.68,0.97,0.0
20190102:1807,0.0,0.0,0.0,25.71,0.48,0.0
20190102:1907,0.0,0.0,0.0,25.21,0.21,0.0
