Latitude (decimal degrees):	13.790
Longitude (decimal degrees):	37.990
Elevation (m):	1092
Radiation database:	PVGIS-SARAH2


Slope: 19 deg. (optimum)
Azimuth: -26 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,18.29,2.14,0.0
20190101:0107,0.0,0.0,0.0,17.25,2.28,0.0
20190101:0207,0.0,0.0,0.0,16.5,2.34,0.0
20190101:0307,0.0,0.0,0.0,15.92,2.41,0.0
20190101:0407,10.65,26.09,2.7,15.49,2.48,0.0
20190101:0507,358.0,448.89,15.71,17.86,2.14,0.0
20190101:0607,544.43,702.4,28.01,22.78,1.66,0.0
20190101:0707,657.49,891.61,39.07,26.0,0.97,0.0
20190101:0807,711.42,1003.7,47.86,28.21,0.55,0.0
20190101:0907,729.62,1041.55,52.74,29.88,0.69,0.0
20190101:1007,703.65,996.52,52.16,31.15,0.97,0.0
20190101:1107,629.04,873.0,46.33,31.94,1.24,0.0
20190101:1207,502.81,684.21,36.96,32.28,1.38,0.0
20190101:1307,325.23,446.59,25.59,32.12,1.52,0.0
20190101:1407,39.19,67.1,13.11,31.44,1.31,0.0
20190101:1507,0.0,0.0,0.0,30.0,0.41,0.0
20190101:1607,0.0,0.0,0.0,27.61,0.9,0.0
20190101:1707,0.0,0.0,0.0,24.67,1.86,0.0
20190101:1807,0.0,0.0,0.0,22.48,2.21,0.0
20190101:1907,0.0,0.0,0.0,20.92,1.79,0.0
20190101:2007,0.0,0.0,0.0,19.37,1.86,0.0
20190101:2107,0.0,0.0,0.0,18.52,1.86,0.0
20190101:2207,0.0,0.0,0.0,18.06,1.93,0.0
20190101:2307,0.0,0.0,0.0,17.16,2.07,0.0
20190102:0007,0.0,0.0,0.0,16.5,2.14,0.0
20190102:0107,0.0,0.0,0.0,15.91,2.14,0.0
20190102:0207,0.0,0.0,0.0,15.36,2.21,0.0
20190102:0307,0.0,0.0,0.0,14.85,2.21,0.0
20190102:0407,6.87,19.55,2.62,14.42,2.28,0.0
20190102:0507,338.35,423.01,15.65,16.67,1.79,0.0
20190102:0607,527.92,682.17,27.97,22.52,1.31,0.0
20190102:0707,648.5,875.09,39.05,25.76,1.03,0.0
20190102:0807,707.31,987.05,47.88,27.97,0.83,0.0
20190102:0907,720.31,1024.72,52.81,29.75,0.69,0.0
20190102:1007,695.71,987.94,52.26,30.99,0.76,0.0
20190102:1107,621.1,865.81,46.46,31.69,0.9,0.0
20190102:1207,498.38,679.41,37.1,31.98,1.1,0.0
20190102:1307,321.04,440.81,25.72,31.78,1.24,0.0
20190102:1407,39.27,67.1,13.24,31.05,1.24,0.0
20190102:1507,0.0,0.0,0.0,29.58,1.03,0.0
20190102:1607,0.0,0.0,0.0,27.41,1.72,0.0
20190102:1707,0.0,0.0,0.0,24.86,2.21,0.0
20190102:1807,0.0,0.0,0.0,22.87,2.07,0.0
20190102:1907,0.0,0.0,0.0,21.76,1.45,0.0
20190102:2007,0.0,0.0,0.0,20.61,1.38,0.0
20190102:2107,0.0,0.0,0.0,21.51,1.17,0.0
20190102:2207,0.0,0.0,0.0,19.81,1.66,0.0
20190102:2307,0.0,0.0,0.0,18.5,1.93,0.0
20190103:0007,0.0,0.0,0.0,17.8,1.93,0.0
20190103:0107,0.0,0.0,0.0,17.36,1.93,0.0
20190103:0207,0.0,0.0,0.0,16.79,2.0,0.0
20190103:0307,0.0,0.0,0.0,16.26,2.0,0.0
20190103:0407,5.67,17.7,2.55,15.78,2.07,0.0
20190103:0507,327.44,412.96,15.59,17.66,1.31,0.0
20190103:0607,510.98,672.08,27.93,23.51,0.41,0.0
20190103:0707,640.79,864.73,39.04,25.59,0.9,0.0
20190103:0807,711.87,977.23,47.91,27.52,1.38,0.0
20190103:0907,734.81,1015.23,52.88,29.24,1.79,0.0
20190103:1007,705.76,972.32,52.38,30.6,2.0,0.0
20190103:1107,626.78,852.93,46.59,31.56,2.14,0.0
20190103:1207,497.82,669.1,37.23,32.07,2.14,0.0
20190103:1307,316.09,431.79,25.86,32.12,2.0,0.0
20190103:1407,41.3,69.97,13.37,31.68,1.79,0.0
20190103:1507,0.0,0.0,0.0,30.16,1.45,0.0
20190103:1607,0.0,0.0,0.0,28.17,1.03,0.0
20190103:1707,0.0,0.0,0.0,25.8,1.38,0.0
20190103:1807,0.0,0.0,0.0,23.54,1.79,0.0
20190103:1907,0.0,0.0,0.0,22.07,2.14,0.0
20190103:2007,0.0,0.0,0.0,20.64,2.28,0.0
20190103:2107,0.0,0.0,0.0,19.44,2.28,0.0
20190103:2207,0.0,0.0,0.0,18.49,2.28,0.0
20190103:2307,0.0,0.0,0.0,17.77,2.28,0.0
20190104:0007,0.0,0.0,0.0,17.19,2.28,0.0
20190104:0107,0.0,0.0,0.0,16.72,2.28,0.0
20190104:0207,0.0,0.0,0.0,16.25,2.34,0.0
20190104:0307,0.0,0.0,0.0,15.81,2.41,0.0
20190104:0407,11.18,27.02,2.48,15.44,2.41,0.0
20190104:0507,363.34,455.97,15.54,17.68,2.0,0.0
20190104:0607,546.3,704.56,27.9,22.64,1.66,0.0
20190104:0707,673.75,895.68,39.03,26.05,2.14,0.0
20190104:0807,736.69,1004.55,47.94,28.57,2.28,0.0
20190104:0907,757.93,1050.19,52.96,30.72,2.34,0.0
20190104:1007,719.51,1000.59,52.5,32.25,2.21,0.0
20190104:1107,637.55,879.23,46.73,33.23,2.07,0.0
20190104:1207,508.1,691.44,37.38,33.57,1.93,0.0
20190104:1307,322.03,442.77,25.99,33.42,1.93,0.0
20190104:1407,40.39,69.01,13.5,32.67,2.0,0.0
20190104:1507,0.0,0.0,0.0,30.66,2.07,0.0
20190104:1607,0.0,0.0,0.0,28.47,2.34,0.0
20190104:1707,0.0,0.0,0.0,26.63,2.62,0.0
20190104:1807,0.0,0.0,0.0,24.5,2.97,0.0
20190104:1907,0.0,0.0,0.0,22.51,2.9,0.0
20190104:2007,0.0,0.0,0.0,20.43,2.83,0.0
20190104:2107,0.0,0.0,0.0,19.1,2.9,0.0
20190104:2207,0.0,0.0,0.0,18.33,3.03,0.0
20190104:2307,0.0,0.0,0.0,17.62,3.03,0.0
20190105:0007,0.0,0.0,0.0,16.86,2.9,0.0
20190105:0107,0.0,0.0,0.0,16.07,2.83,0.0
20190105:0207,0.0,0.0,0.0,15.4,2.9,0.0
20190105:0307,0.0,0.0,0.0,14.89,2.97,0.0
20190105:0407,30.78,56.6,2.42,14.48,2.97,0.0
20190105:0507,363.98,452.42,15.49,16.52,2.62,0.0
20190105:0607,548.85,699.93,27.87,21.76,2.21,0.0
20190105:0707,672.81,896.8,39.03,25.91,1.93,0.0
20190105:0807,733.57,1012.74,47.98,28.62,1.66,0.0
20190105:0907,748.54,1052.22,53.05,30.67,1.59,0.0
20190105:1007,715.02,1008.81,52.63,32.11,1.45,0.0
20190105:1107,631.58,882.08,46.88,32.86,1.24,0.0
20190105:1207,507.01,694.19,37.52,33.11,1.31,0.0
20190105:1307,330.04,454.23,26.13,32.83,1.45,0.0
20190105:1407,42.64,71.89,13.63,31.98,1.38,0.0
20190105:1507,0.0,0.0,0.0,30.27,0.55,0.0
20190105:1607,0.0,0.0,0.0,27.19,1.1,0.0
20190105:1707,0.0,0.0,0.0,23.89,2.14,0.0
20190105:1807,0.0,0.0,0.0,21.48,2.62,0.0
20190105:1907,0.0,0.0,0.0,19.8,2.62,0.0
20190105:2007,0.0,0.0,0.0,18.24,2.76,0.0
20190105:2107,0.0,0.0,0.0,16.88,2.76,0.0
20190105:2207,0.0,0.0,0.0,15.91,2.76,0.0
20190105:2307,0.0,0.0,0.0,15.18,2.76,0.0
20190106:0007,0.0,0.0,0.0,14.57,2.69,0.0
20190106:0107,0.0,0.0,0.0,13.96,2.69,0.0
20190106:0207,0.0,0.0,0.0,13.57,2.69,0.0
20190106:0307,0.0,0.0,0.0,13.19,2.76,0.0
20190106:0407,0.0,3.91,2.35,12.82,2.83,0.0
20190106:0507,163.58,210.19,15.44,15.17,2.48,0.0
20190106:0607,553.5,704.41,27.84,20.97,2.07,0.0
20190106:0707,536.43,703.4,39.04,25.43,1.72,0.0
20190106:0807,651.7,889.65,48.03,28.11,1.38,0.0
20190106:0907,558.11,763.29,53.15,30.03,1.17,0.0
20190106:1007,652.86,910.01,52.77,31.34,1.31,0.0
20190106:1107,483.97,657.91,47.03,32.1,1.52,0.0
20190106:1207,460.14,621.75,37.67,32.34,1.72,0.0
20190106:1307,308.82,421.53,26.28,32.13,1.79,0.0
20190106:1407,64.64,100.65,13.76,31.39,1.59,0.0
20190106:1507,0.0,0.0,0.0,29.89,0.97,0.0
20190106:1607,0.0,0.0,0.0,27.07,1.52,0.0
20190106:1707,0.0,0.0,0.0,24.24,2.14,0.0
20190106:1807,0.0,0.0,0.0,21.89,2.21,0.0
20190106:1907,0.0,0.0,0.0,20.23,2.07,0.0
20190106:2007,0.0,0.0,0.0,18.51,2.0,0.0
20190106:2107,0.0,0.0,0.0,17.09,2.14,0.0
20190106:2207,0.0,0.0,0.0,16.22,2.14,0.0
20190106:2307,0.0,0.0,0.0,15.54,2.14,0.0
20190107:0007,0.0,0.0,0.0,15.1,2.14,0.0
20190107:0107,0.0,0.0,0.0,14.79,2.14,0.0
20190107:0207,0.0,0.0,0.0,14.41,2.21,0.0
20190107:0307,0.0,0.0,0.0,13.86,2.21,0.0
20190107:0407,52.07,86.42,2.29,13.3,2.28,0.0
20190107:0507,276.08,344.51,15.4,15.15,1.72,0.0
20190107:0607,351.53,451.66,27.82,22.58,0.97,0.0
20190107:0707,463.64,617.38,39.05,26.27,0.48,0.0
20190107:0807,476.01,645.38,48.08,28.61,0.48,0.0
20190107:0907,718.08,1020.95,53.25,30.5,0.9,0.0
20190107:1007,717.64,1019.25,52.91,31.9,1.17,0.0
20190107:1107,634.38,886.18,47.19,32.74,1.24,0.0
20190107:1207,509.65,699.35,37.83,33.02,1.17,0.0
20190107:1307,332.76,459.42,26.42,32.84,1.03,0.0
20190107:1407,29.24,53.68,13.9,32.19,0.83,0.0
20190107:1507,0.0,0.0,0.0,30.77,0.48,0.0
20190107:1607,0.0,0.0,0.0,28.07,0.97,0.0
20190107:1707,0.0,0.0,0.0,24.44,1.86,0.0
20190107:1807,0.0,0.0,0.0,21.72,2.21,0.0
20190107:1907,0.0,0.0,0.0,19.8,2.28,0.0
20190107:2007,0.0,0.0,0.0,18.0,2.41,0.0
20190107:2107,0.0,0.0,0.0,16.48,2.48,0.0
20190107:2207,0.0,0.0,0.0,15.32,2.48,0.0
20190107:2307,0.0,0.0,0.0,14.4,2.41,0.0
20190108:0007,0.0,0.0,0.0,13.67,2.41,0.0
20190108:0107,0.0,0.0,0.0,13.04,2.48,0.0
20190108:0207,0.0,0.0,0.0,12.48,2.55,0.0
20190108:0307,0.0,0.0,0.0,12.09,2.62,0.0
20190108:0407,2.26,10.75,2.24,11.85,2.69,0.0
20190108:0507,374.0,462.09,15.36,14.55,2.21,0.0
20190108:0607,563.95,724.22,27.81,21.01,1.52,0.0
20190108:0707,669.26,909.44,39.06,25.56,0.9,0.0
20190108:0807,733.65,1027.94,48.14,28.09,0.97,0.0
20190108:0907,753.0,1069.84,53.36,30.05,1.1,0.0
20190108:1007,726.74,1026.75,53.06,31.54,1.38,0.0
20190108:1107,647.6,899.34,47.35,32.52,1.59,0.0
20190108:1207,521.92,710.87,37.98,32.89,1.72,0.0
20190108:1307,343.23,470.61,26.57,32.69,1.72,0.0
20190108:1407,42.66,71.89,14.03,31.91,1.45,0.0
20190108:1507,0.0,0.0,0.0,30.44,0.55,0.0
20190108:1607,0.0,0.0,0.0,27.57,1.17,0.0
20190108:1707,0.0,0.0,0.0,24.01,2.14,0.0
20190108:1807,0.0,0.0,0.0,21.43,2.28,0.0
20190108:1907,0.0,0.0,0.0,19.61,2.07,0.0
20190108:2007,0.0,0.0,0.0,17.71,2.07,0.0
20190108:2107,0.0,0.0,0.0,16.48,2.07,0.0
20190108:2207,0.0,0.0,0.0,15.85,2.07,0.0
20190108:2307,0.0,0.0,0.0,15.52,1.93,0.0
20190109:0007,0.0,0.0,0.0,15.47,1.79,0.0
20190109:0107,0.0,0.0,0.0,14.56,2.07,0.0
20190109:0207,0.0,0.0,0.0,13.77,2.34,0.0
20190109:0307,0.0,0.0,0.0,13.15,2.48,0.0
20190109:0407,0.0,0.0,0.0,12.5,2.48,0.0
20190109:0507,359.67,445.12,15.32,14.57,2.0,0.0
20190109:0607,551.3,708.68,27.8,21.29,1.45,0.0
20190109:0707,668.16,904.78,39.08,25.31,0.97,0.0
20190109:0807,731.28,1023.47,48.2,27.7,0.9,0.0
20190109:0907,748.28,1065.52,53.48,29.63,0.9,0.0
20190109:1007,713.52,1017.35,53.22,31.07,0.83,0.0
20190109:1107,640.28,897.44,47.51,32.04,0.97,0.0
20190109:1207,517.21,710.13,38.14,32.52,1.03,0.0
20190109:1307,341.63,469.98,26.72,32.45,1.17,0.0
20190109:1407,41.96,70.93,14.17,31.77,1.1,0.0
20190109:1507,0.0,0.0,0.0,30.25,0.55,0.0
20190109:1607,0.0,0.0,0.0,27.85,0.83,0.0
20190109:1707,0.0,0.0,0.0,24.36,1.93,0.0
20190109:1807,0.0,0.0,0.0,21.91,1.86,0.0
20190109:1907,0.0,0.0,0.0,19.95,2.0,0.0
20190109:2007,0.0,0.0,0.0,18.52,2.28,0.0
20190109:2107,0.0,0.0,0.0,17.23,2.41,0.0
20190109:2207,0.0,0.0,0.0,16.16,2.41,0.0
20190109:2307,0.0,0.0,0.0,15.24,2.41,0.0
