r,t,y,TotalCapacityAnnual
REGION,EGWA00000X,2015, 1.4941029002387686e+04
REGION,EGWA00000X,2016, 1.9500076283241448e+04
REGION,EGWA00000X,2017, 1.9500076283241448e+04
REGION,EGWA00000X,2018, 2.2109168247923968e+04
REGION,EGWA00000X,2019, 2.2109168247923968e+04
REGION,EGWA00000X,2020, 2.2109168247923968e+04
REGION,EGWA00000X,2021, 2.2109168247923968e+04
REGION,EGWA00000X,2022, 2.2109168247923968e+04
REGION,EGWA00000X,2023, 2.2109168247923968e+04
REGION,EGWA00000X,2024, 2.2109168247923968e+04
REGION,EGWA00000X,2025, 2.3501389404947364e+04
REGION,EGWA00000X,2026, 2.3501389404947364e+04
REGION,EGWA00000X,2027, 2.3501389404947364e+04
REGION,EGWA00000X,2028, 2.3501389404947364e+04
REGION,EGWA00000X,2029, 2.3501389404947364e+04
REGION,EGWA00000X,2030, 2.3925069511525016e+04
REGION,EGWA00000X,2031, 2.3925069511525016e+04
REGION,EGWA00000X,2032, 2.3986628140744619e+04
REGION,EGWA00000X,2033, 2.3986628140744619e+04
REGION,EGWA00000X,2034, 2.8604089870945296e+04
REGION,EGWA00000X,2035, 2.8604089870945296e+04
REGION,EGWA00000X,2036, 2.8604089870945296e+04
REGION,EGWA00000X,2037, 2.8604089870945296e+04
REGION,EGWA00000X,2038, 3.0000267388756762e+04
REGION,EGWA00000X,2039, 3.0942877888881350e+04
REGION,EGWA00000X,2040, 1.3094187788888134e+05
REGION,EGWA00000X,2041, 2.3094087788888131e+05
REGION,EGWA00000X,2042, 3.3093987788888131e+05
REGION,EGWA00000X,2043, 4.3093887788888131e+05
REGION,EGWA00000X,2044, 5.3093787788888125e+05
REGION,EGWA00000X,2045, 6.3093687788888148e+05
REGION,EGWA00000X,2046, 7.3093587788888148e+05
REGION,EGWA00000X,2047, 8.3093487788888148e+05
REGION,EGWA00000X,2048, 9.3093387788888148e+05
REGION,EGWA00000X,2049, 1.0309328778888815e+06
